id,employer,date,start_time,end_time,location,website,coop/grad,programs,info
2020,Sun Life Financial,"September 19, 2013",5:00 PM,7:00 PM,QNC - Lower Atrium,http://sunlife.ca/careers/studen,Co-op and Graduating Students,Actuarial Science,
2037,Relay,"September 19, 2013",8:00 PM,9:00 PM,TC 2218,http://relay.im,Co-op Students,"Systems Design Engineering, Software Engineering, Pure Mathematics, Computer Science, Computer Engineering","Relay is a Toronto-based startup founded by uWaterloo graduates and ex-Google/Amazon engineers. We're building a mobile messaging app that makes it easy for you to share fun, visual entertainment. There's plenty of hard problems to solve and lots of fun to be had! Join our founders Joe and Jon at this info session to find out more about Relay, working at a startup and opportunities available for co-ops and new graduates."
2135,Palantir - Lobby Day,"September 20, 2013",10:00 AM,11:30 AM,DC 1301,,Co-op and Graduating Students,"Computer Engineering, Computer Science, Software Engineering, Systems Design Engineering",
2086,Google,"September 20, 2013",11:30 AM,1:30 PM,TBD,http://www.google.com/students,Co-op and Graduating Students,"Software Engineering, Pure Mathematics, Electrical Engineering, Computer Science, Computer Engineering",
2136,Palantir - Lobby Day,"September 20, 2013",1:30 PM,4:00 PM,DC 1301,,Co-op and Graduating Students,"Computer Engineering, Computer Science, Software Engineering, Systems Design Engineering",
2021,Fairfax Financial Holdings Ltd.,"September 23, 2013",11:30 AM,1:30 PM,TC 2218,http://fairfax.ca,Co-op Students,"Systems Design Engineering, Mathematics, Management Engineering, Business, Actuarial Science",
2061,SpinPunch,"September 23, 2013",11:30 AM,1:30 PM,QNC Lower Atrium,http://www.spinpunch.com,Co-op and Graduating Students,"Software Engineering, Nanotechnology, Mechatronics Engineering, Computer Engineering",
2039,Rebellion Media,"September 23, 2013",3:00 PM,5:00 PM,Bomb shelter SLC,http://www.rebellionmedia.com,Co-op Students,"Systems Design Engineering, Software Engineering, Computer Science, Computer Engineering","Rebellion connects millions of users every day to personalized content and communities through its large and growing family of websites, mobile apps and digital tools.  Come out to our Networking Session to meet our hiring managers, and learn more about how we’re going to become the best and biggest Digital Media company in Canada.  Join the Rebellion!"
1983,IBM,"September 23, 2013",5:00 PM,7:00 PM,TC 2218,http://ibm.com/careers,Co-op and Graduating Students,"Software Engineering, Engineering, Computer Science, Computer Engineering",
2111,Eckler,"September 23, 2013",5:00 PM,7:00 PM,Laurel Room - SCH,http://eckler.com,Co-op and Graduating Students,"Statistics, Actuarial Science",
2001,Microsoft,"September 23, 2013",7:30 PM,9:00 PM,Festival Room - South Campus Hall,http://microsoft.com/university,Co-op and Graduating Students,"Systems Design Engineering, Software Engineering, Mechatronics Engineering, Computer Science, Computer Engineering",
2028,Microsoft Canada,"September 23, 2013",7:30 PM,9:00 PM,TC 2218,http://bit.ly/QU0RQv,Co-op and Graduating Students,,"For Co-op and Graduating Students: Business, Math & Business, Science & Business, Arts & Business, Environment & Business, Accounting Programs, Statistics, Economics, Computing and Financial Management, Mathematics. Microsoft Canada was awarded Top Employer for 2012 by the University of Waterloo. Curious to find out why? Join us on September 23, 2013 from 7:30 PM - 9:00 PM in TC 2218 to learn about our awesome co-op and new graduate (MACH) opportunities. You'll also have the chance to win prizes and swag, and hang out and network with Microsoft employees. See you there! Please note: this session is for students in business and business-related programs."
2031,CGI Group Inc,"September 24, 2013",11:30 AM,1:30 PM,TC 2218,http://www.cgi.com,Co-op and Graduating Students,"Mathematics, Engineering, Business, Arts, Accounting and Financial Management, Accounting",
2130,Microsoft*,"September 24, 2013",1:30 PM,3:00 PM,TBD,,Co-op and Graduating Students,,
2073,National Instruments,"September 24, 2013",3:00 PM,4:30 PM,South Campus Hall - Laurel Room,http://www.ni.com,Co-op and Graduating Students,"Physics, Mechanical Engineering, Electrical Engineering, Computer Science, Computer Engineering, Software Engineering, Systems Design Engineering",
2063,Imperial Oil,"September 24, 2013",4:30 PM,6:30 PM,SCH Festival Room,http://www.imperialoil.ca/campus,Co-op and Graduating Students,"Science, Mechanical Engineering, Environmental Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering, Business",
1993,Noom Inc.,"September 24, 2013",5:00 PM,7:00 PM,Bombshelter Pub,http://www.noom.com,Co-op Students,"Systems Design Engineering, Software Engineering, Computer Science, Computer Engineering",
2041,Munich Reinsurance,"September 24, 2013",5:00 PM,7:00 PM,TC 2218,,Co-op and Graduating Students,"Mathematics, MASTERS - Actuarial Science",
2074,Metro Vancouver,"September 24, 2013",5:00 PM,7:00 PM,DC Fish Bowl 1301,http://metrovancouver.org/career,Graduating Students,Engineering,
2052,Kik Interactive,"September 24, 2013",7:30 PM,9:00 PM,SLC Bomb Shelter,http://www.kik.com,Co-op Students,"Software Engineering, Computer Science, Computer Engineering",
2137,Chrysler Canada*,"September 24, 2013",7:30 PM,9:00 PM,TBD,,Co-op Students,"Electrical Engineering, Mechanical Engineering",
2071,P4E Career Fair,"September 25, 2013",10:00 AM,4:00 PM,RIM Park,,Co-op and Graduating Students,,
2030,AMEC NSS,"September 25, 2013",5:00 PM,7:00 PM,TC 2218,http://www.amec.com,Co-op and Graduating Students,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering, Applied Mathematics",
2036,A Thinking Ape,"September 25, 2013",7:30 PM,9:00 PM,TC 2218,http://www.athinkingape.com,Co-op and Graduating Students,"Software Engineering, Mechatronics Engineering, Electrical Engineering, Computer Science, Computer Engineering, Statistics, Systems Design Engineering",
2019,Addepar,"September 26, 2013",11:30 AM,1:30 PM,DC 1301 Fish Bowl,http://careers.addepar.com,Graduating Students,"Software Engineering, Computer Engineering",
2050,Electronic Arts,"September 26, 2013",5:00 PM,7:00 PM,TBD,http://careers.ea.com,Co-op and Graduating Students,"MATH - Bioinformatics, Engineering, Computer Science, Applied Mathematics",
2058,Intact Insurance,"September 26, 2013",5:00 PM,7:00 PM,SLC Bombshelter,http://www.intactinsurance.com,Co-op and Graduating Students,Actuarial Science,
2044,SMART Technologies,"September 26, 2013",7:30 PM,9:00 PM,TC 2218,http://www.smarttech.com,Co-op and Graduating Students,"Science, Mathematics, Engineering, Computer Science, Business, Accounting and Financial Management",
2067,Avanade,"September 27, 2013",11:30 AM,1:30 PM,TC 2218,http://www.avanade.com,Graduating Students,"Computer Science, Engineering, Info Tech , Information Technology Management",
2089,Tata Consultancy Services Canada Inc,"September 30, 2013",11:30 AM,1:30 PM,Tatham Centre - 2218 ,,Co-op and Graduating Students,"Software Engineering, Info Tech , Electrical Engineering, Computer Science, Computer Engineering",
2132,ThoughtWorks,"September 30, 2013",2:30 PM,4:00 PM,TC 2218,http://www.thoughtworks.com,Co-op and Graduating Students,"Systems Design Engineering, Software Engineering, Recreation & Leisure Studies, Recreation & Business Management, Computer Engineering","ThoughtWorks is a global IT consultancy providing Agile-based systems development and consulting services. In other words, we build (amazing) software. It’s amazing because we build it with a complete obsession on doing the right thing for the user and the customer, and some quirky methods to get us there really quickly. It’s also amazing because it’s the stuff which makes or breaks companies; software which creates competitive advantage."
2059,Kontagent,"September 30, 2013",5:00 PM,7:00 PM,DC 1301 Fish Bowl,http://www.kontagent.com,Co-op Students,"Software Engineering, Computer Engineering",
2090,Reliance Home Comfort,"September 30, 2013",5:00 PM,7:00 PM,QNC Lower Atrium,http://reliancecomfort.com,Graduating Students,"Mechanical Engineering, Management Engineering, Human Resources, Financial Management, Business","Reliance Comfort Limited Partnership offers essential home services to customers across Canada, specializing in two main product lines: the HVAC business (heating, ventilation and air conditioning) which includes retail sale, rental, service, maintenance, and financing; and the Security business which includes sales, installation, rental, service, and monitoring. </p>Reliance is a $500 million business today having doubled in size over the last 5 years. The Reliance portfolio consists of 1.24 million residential water heaters in Ontario and is Canada’s largest portfolio of rental water heaters. The Security and Monitoring business is the second largest of its kind in Canada with over 375,000 subscribers. </p>What has remained core to the business in our fast growing company is the continual development of strong customer relationships and loyalty, and investment in employees and systems necessary to cost-effectively and efficiently manage the business. </p>Past performance and future plans demonstrate that the business is doing the right things to build revenue, offering consumers products and services they want and value. The organization is well positioned to out-perform others in a competitive marketplace. </p>More information about Reliance can be found on the company’s website at http://www.reliancehomecomfort.com"
2131,Capco,"September 30, 2013",5:00 PM,7:00 PM,TC 2218,http://www.capco.com,Graduating Students,"Computer Engineering, Management Engineering, Software Engineering, Systems Design Engineering",
2045,Yelp,"September 30, 2013",7:30 PM,9:00 PM,TC 2218,,Co-op and Graduating Students,"Software Engineering, Electrical Engineering, Computer Engineering, Computational Mathematics",
2070,Rogers Communications,"October 1, 2013",11:30 AM,1:30 PM,TC 2218,http://www.jobs.rogers.com,Graduating Students,"Computer Engineering, Electrical Engineering, Management Engineering, Systems Design Engineering",
2047,Yelp,"October 1, 2013",5:00 PM,7:00 PM,SCH Laurel Room,,Co-op and Graduating Students,"Digital Arts Communication, Computer Science, Arts & Business",
2096,LinkedIn,"October 1, 2013",5:00 PM,7:00 PM,TC 2218,,Co-op and Graduating Students,Computer Engineering,
2105,Newton North America,"October 1, 2013",5:00 PM,7:00 PM,DC 1302,http://newton-na.com,Graduating Students,"Mechatronics Engineering, Mechanical Engineering, Electrical Engineering",
2078,Electronic Arts,"October 1, 2013",7:30 PM,9:00 PM,Bombshelter Pub,,Co-op and Graduating Students,"Software Engineering, Electrical Engineering, Computer Science, Computer Engineering",
2112,Affirm,"October 2, 2013",11:30 AM,1:30 PM,TC 2218,http://affirm.com,Co-op and Graduating Students,"Statistics, Software Engineering, Financial Analysis & Risk Management, Computer Science, Computer Engineering",
2013,Mc Rae Integration,"October 2, 2013",5:00 PM,7:00 PM,DC Fish Bowl,http://www.mcraeintegration.com,Co-op and Graduating Students,"Systems Design Engineering, Mechatronics Engineering, Mechanical Engineering, Electrical Engineering, Computer Engineering",
2075,Trip Advisor,"October 2, 2013",7:30 PM,9:00 PM,TC2218,http://www.tripadvisor.com,Co-op and Graduating Students,"Systems Design Engineering, Software Engineering, Engineering, Computer Science, Computer Engineering",
2134,Canadian Tire Corporation,"October 3, 2013",11:30 AM,1:30 PM,DC 1301 Fish Bowl,,Co-op and Graduating Students,"Computer Engineering, Info Tech , Systems Design Engineering",
2069,AppNexus,"October 3, 2013",5:30 PM,7:00 PM,DC Fish Bowl 1301,http://careers.appnexus.com,Co-op and Graduating Students,"Systems Design Engineering, Software Engineering, Electrical Engineering, Computer Science, Computer Engineering",
2046,Yelp,"October 3, 2013",7:30 PM,9:00 PM,SLC Bomber,,Co-op and Graduating Students,"Software Engineering, Electrical Engineering, Computer Science, Computer Engineering",
2094,VMware,"October 4, 2013",11:30 AM,1:30 PM,TC 2218,,Co-op and Graduating Students,"Systems Design Engineering, Software Engineering, Computer Science, Computer Engineering",
2114,CIBC,"October 7, 2013",11:30 AM,1:30 PM,TC 2218,,Co-op Students,"Computational Mathematics, Computer Engineering, Computer Science, Computing and Financial Management, Electrical Engineering, Info Tech , Information Technology Management, Management Engineering, Software Engineering, Systems Design Engineering",
2124,Citi Canada Technology Services,"October 7, 2013",5:00 PM,7:00 PM,TC 2218,http://www.citigroup.com,Co-op and Graduating Students,"Mathematics, Info Tech , Engineering",
2060,NexJ Sytems,"October 7, 2013",7:30 PM,9:00 PM,TC 2218,http://www.nexj.com,Co-op and Graduating Students,"Systems Design Engineering, Software Engineering, Management Engineering, Electrical Engineering, Computer Engineering",
2119,Arista Networks,"October 8, 2013",11:30 AM,1:30 PM,DC 1301,,Co-op and Graduating Students,"Software Engineering, Mechatronics Engineering, Electrical Engineering, Computer Science, Computer Engineering",
2120,Kijiji,"October 8, 2013",5:00 PM,7:00 PM,TC 2218,,Co-op Students,"Physics, Mathematics, MASTERS - Civil Engineering, Engineering",
2000,Big Viking Games,"October 8, 2013",7:00 PM,9:00 PM,Bombshelter SLC,http://www.bigvikinggames.com,Co-op and Graduating Students,"Info Tech , Engineering, Computer Engineering","Big Viking Games is a fun, fast-paced mobile and social gaming studio based in London, Ontario. We are paving the way for HTML5 game development by creating games which are entertaining, addicting and enjoyed by millions of people worldwide! Big Viking Games’ Co-founder Greg Thomson will explore the use of HTML5 in the gaming industry in this week’s Tech Talk."
2103,Tesla Motors,"October 9, 2013",11:30 AM,1:30 PM,DC 1301,http://teslamotors.com,Co-op and Graduating Students,"Software Engineering, Mechatronics Engineering, Mechanical Engineering, Electrical Engineering, Computer Engineering",
2076,Apple,"October 9, 2013",5:00 PM,7:00 PM,TBD,,Co-op Students,"Computer Engineering, Electrical Engineering, Mechanical Engineering, Mechatronics Engineering",
2062,Canadian Security Intelligence Service,"October 9, 2013",7:30 PM,9:00 PM,DC 1301,http://www.csiscareers.ca,Co-op Students,"Systems Design Engineering, Software Engineering, Mechatronics Engineering, Info Tech , Computer Engineering",
2127,Konrad Group,"October 10, 2013",11:30 AM,1:30 PM,DC 1301,http://www.konradgroup.com,Co-op and Graduating Students,Computer Science,
2113,Genesys Laboratories Canada Inc.,"October 10, 2013",5:00 PM,7:00 PM,DC 1301,http://genesyslab.com,Co-op Students,"Systems Design Engineering, Software Engineering, Electrical Engineering, Computer Science, Computer Engineering",
2126,Golder Associates Ltd.,"October 10, 2013",5:00 PM,7:00 PM,TC 2218,http://www.golder.com,Co-op and Graduating Students,"Civil Engineering, Environmental Engineering, Geological Engineering",
2108,Plex Systems Inc.,"October 10, 2013",7:30 PM,9:00 PM,DC 1301,http://www.plex.com,Co-op and Graduating Students,"Software Engineering, Info Tech , Electrical Engineering, Computer Science, Computer Engineering",
2138,Canadian Tire Corporation,"October 11, 2013",11:30 AM,1:30 PM,DC 1301 Fish Bowl,,Co-op and Graduating Students,Engineering,
2079,Canadian Thanksgiving - Holiday,"October 14, 2013",08:00 AM,08:00 AM,,,Co-op Students,,
2139,Communications Security Establishment Canada*,"October 16, 2013",5:00 PM,7:00 PM,TBD,http://www.cse-cst.gc.ca,Graduating Students,"Applied Mathematics, Combinatorics & Optimization, Computational Mathematics, Computer Science, Statistics",
2123,SapientNitro,"October 17, 2013",4:00 PM,6:30 PM,Bombshelter,http://www.sapientnitro.com,Graduating Students,"Science, Mathematics, Engineering, Business, Arts",
2125,Fusenet*,"October 24, 2013",6:00 PM,11:30 PM,DC 1301,,Co-op and Graduating Students,"Computer Engineering, Computer Science, Software Engineering, Systems Design Engineering",
