Exam,Section(s),Day,Date,Start,End,Location(s)
ECE 105,001 to 004,Thursday,"December 8, 2011",12:30 PM,3:00 PM,"RCH 103,105,110,112,301,302,305"
ECE 140,001 to 004,Saturday,"December 10, 2011",12:30 PM,3:00 PM,"PAC 1,2,3,4,5"
ECE 150,001 to 003,Wednesday,"December 14, 2011",7:30 PM,10:00 PM,"PAC 1,2,3,9,10"
ECE 207,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"RCH 103,105"
ECE 207,002,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"RCH 110,112"
ECE 209,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,"RCH 103,105"
ECE 222,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,"RCH 301,307"
ECE 222,002,Monday,"December 12, 2011",9:00 AM,11:30 AM,"RCH 103,105,110"
ECE 224,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,"PAC 11,12"
ECE 240,001,Wednesday,"December 14, 2011",9:00 AM,11:30 AM,"MC 2034,2035,2038"
ECE 242,"001,002",Thursday,"December 15, 2011",4:00 PM,6:30 PM,"PAC 9,10,11,12"
ECE 250,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"RCH 301,302"
ECE 254,001,Monday,"December 19, 2011",4:00 PM,6:30 PM,"MC 4020,4021"
ECE 290,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,"RCH 301,302"
ECE 318,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,"PAC 11,12"
ECE 332,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"RCH 103,105"
ECE 362,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,PAC 1
ECE 380,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"RCH 110,112"
ECE 451,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,RCH 305
ECE 452,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,MC 2034
ECE 463,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,RCH 205
ECE 484,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,"RCH 307,308"
ECE 493,001,Monday,"December 12, 2011",7:30 PM,10:00 PM,MC 2038
ECON 101,"002,004",Thursday,"December 8, 2011",4:00 PM,6:00 PM,"DC 1350,1351,MC 4020,4021"
ECON 101,"007,008",Thursday,"December 8, 2011",4:00 PM,6:30 PM,"PAC 5,6,7"
ECON 101,001,Thursday,"December 8, 2011",4:00 PM,6:30 PM,"PAC 8,11,12"
ECON 101,003,Thursday,"December 8, 2011",4:00 PM,6:30 PM,"PAC 1,2,3,4"
ECON 101,005,Thursday,"December 8, 2011",4:00 PM,6:30 PM,"RCH 301,302,305,307"
ECON 101,006,Thursday,"December 8, 2011",4:00 PM,6:30 PM,"RCH 103,105,110,112,211"
ECON 101,051 (UAE),Wednesday,"December 7, 2011",9:00 AM,11:30 AM,Exam Hall
ECON 102,"003,004",Wednesday,"December 14, 2011",12:30 PM,2:30 PM,"M3 1006,DC 1350,1351"
ECON 102,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,"MC 4020,4021,4059"
ECON 102,002,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,"RCH 103,105"
ECON 102,051 (UAE),Thursday,"December 15, 2011",9:00 AM,11:30 AM,Z-242
ECON 120W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU
ECON 201,"001,004",Friday,"December 16, 2011",4:00 PM,6:30 PM,"PAC 1,2"
ECON 201,002,Friday,"December 16, 2011",4:00 PM,6:30 PM,PAC 7
ECON 201,003,Friday,"December 16, 2011",4:00 PM,6:30 PM,"PAC 11,12"
ECON 202,"002,003",Friday,"December 9, 2011",9:00 AM,11:30 AM,"PAC 4,5"
ECON 202,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
ECON 211,"001,002",Thursday,"December 15, 2011",4:00 PM,6:00 PM,"MC 2017,2054"
ECON 221,"001,002",Monday,"December 19, 2011",7:30 PM,10:00 PM,"RCH 301,302"
ECON 231,001,Wednesday,"December 14, 2011",4:00 PM,6:00 PM,"RCH 302,305"
ECON 231,002,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,"PAC 11,12"
ECON 231,003,Wednesday,"December 14, 2011",4:00 PM,6:00 PM,RCH 301
ECON 301,001,Friday,"December 16, 2011",4:00 PM,6:30 PM,PAC 3
ECON 301,002,Friday,"December 16, 2011",4:00 PM,6:30 PM,PAC 8
ECON 301,003,Friday,"December 16, 2011",4:00 PM,6:30 PM,PAC 12
ECON 302,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,"PAC 11,12"
ECON 302,002,Wednesday,"December 14, 2011",12:30 PM,2:00 PM,"MC 4045,4061"
ECON 304,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,"RCH 204,211"
ECON 311,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,RCH 307
ECON 321,001,Monday,"December 12, 2011",7:30 PM,10:00 PM,MC 4020
ECON 321,002,Monday,"December 12, 2011",7:30 PM,10:00 PM,MC 1085
ECON 341,001,Tuesday,"December 20, 2011",12:30 PM,2:30 PM,RCH 307
ECON 351,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,"PAC 9,10"
ECON 355,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,PAC 6
ECON 361,,,,View your exam schedule in Quest,,,,
ECON 383,001,Wednesday,"December 21, 2011",7:30 PM,10:00 PM,RCH 301
ECON 401,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,"PAC 9,10"
ECON 421,001,Friday,"December 9, 2011",7:30 PM,9:30 PM,RCH 204
ECON 436,001,Saturday,"December 17, 2011",7:30 PM,9:30 PM,MC 4061
ECON 484,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 205
ECON 673,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 205
ELPE 100,,,,View your exam schedule in Quest,,,,
ENBUS 202,001,Tuesday,"December 20, 2011",4:00 PM,6:30 PM,"HH 1101,1102"
ENBUS 204,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,"HH 1101,1102,1104"
ENBUS 602,,,,View your exam schedule in Quest,,,,
ENGL 100A,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,REN 2106
ENGL 101A,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,PAC 9
ENGL 101A,002,Friday,"December 9, 2011",4:00 PM,6:30 PM,STJ 2011
ENGL 101A,003,Friday,"December 9, 2011",12:30 PM,3:00 PM,STJ 2009
ENGL 101B,001,Tuesday,"December 20, 2011",12:30 PM,3:00 PM,RCH 306
ENGL 102B,,,,View your exam schedule in Quest,,,,
ENGL 108A,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,STJ 2017
ENGL 108B,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,RCH 205
ENGL 108F,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,STJ 2009
ENGL 108F,002,Monday,"December 19, 2011",7:30 PM,10:00 PM,STJ 2017
ENGL 108H,001,Friday,"December 16, 2011",4:00 PM,6:30 PM,PAC 6
ENGL 109,,,,View your exam schedule in Quest,,,,
ENGL 129R,001,Saturday,"December 10, 2011",9:00 AM,11:30 AM,REN 2107
ENGL 190,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,MC 2035
ENGL 190,,,,View your exam schedule in Quest,,,,
ENGL 200A,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,"RCH 103,105"
ENGL 200A,002,Thursday,"December 15, 2011",9:00 AM,11:30 AM,STJ 3014
ENGL 200A,,,,View your exam schedule in Quest,,,,
ENGL 201,001,Thursday,"December 22, 2011",9:00 AM,11:00 AM,PAC 9
ENGL 208A,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,STJ 2017
ENGL 208C,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,MC 2035
ENGL 208C,,,,View your exam schedule in Quest,,,,
ENGL 208H,001,Thursday,"December 22, 2011",7:30 PM,10:00 PM,PAC 3
ENGL 208K,001,Exam removed from the schedule.  Contact the instructor for further information.,,,,
ENGL 210F,,,,View your exam schedule in Quest,,,,
ENGL 210I,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,STJ 2017
ENGL 214,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,AL 209
ENGL 247,001,Tuesday,"December 20, 2011",4:00 PM,6:30 PM,PAC 12
ENGL 251A,003,Monday,"December 12, 2011",7:30 PM,10:00 PM,MC 4042
ENGL 251A,004,Monday,"December 12, 2011",12:30 PM,2:30 PM,STJ 3015
ENGL 251A,005,Wednesday,"December 14, 2011",9:00 AM,11:30 AM,RCH 306
ENGL 251A,008,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,STJ 3013
ENGL 251A,,,,View your exam schedule in Quest,,,,
ENGL 292,001,Saturday,"December 17, 2011",7:30 PM,10:00 PM,RCH 301
ENGL 306A,001,Saturday,"December 17, 2011",12:30 PM,3:00 PM,MC 2034
ENGL 306F,001,Exam removed from the schedule.  Contact the instructor for further information.,,,,
ENGL 309A,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,RCH 305
ENGL 315,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,MC 4042
ENGL 318,001,Wednesday,"December 14, 2011",7:30 PM,10:00 PM,STJ 2011
ENGL 330A,001,Wednesday,"December 14, 2011",4:00 PM,6:00 PM,RCH 306
ENGL 344,,,,View your exam schedule in Quest,,,,
ENGL 350B,,,,View your exam schedule in Quest,,,,
ENGL 362,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,STJ 2011
ENGL 362,,,,View your exam schedule in Quest,,,,
ENGL 376R,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,REN 2106
ENGL 430A,001,Friday,"December 16, 2011",9:00 AM,11:30 AM,HH 2107
ENGL 451A,001,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,AL 209
ENGL 460A,001,Wednesday,"December 21, 2011",9:00 AM,11:30 AM,RCH 205
ENVE 214,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,CPH 3607
ENVE 223,001,Saturday,"December 17, 2011",12:30 PM,3:00 PM,RCH 302
ENVE 276,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,DWE 1501
ENVE 292,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,"RCH 103,105,110"
ENVE 472,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,CPH 3604
ENVS 200,001,Wednesday,"December 14, 2011",9:00 AM,11:30 AM,"DC 1350,1351"
ENVS 201,001,Friday,"December 9, 2011",7:30 PM,10:00 PM,"PAC 1,2,3"
ENVS 278,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
ENVS 334,001,Wednesday,"December 21, 2011",9:00 AM,11:30 AM,RCH 307
ENVS 444,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,PAC 12
ERS 210,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,HH 1101
ERS 211,001,Saturday,"December 17, 2011",12:30 PM,3:00 PM,"RCH 301,307"
ERS 234,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,EV3 1408
ERS 484,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,EV3 1408
ERS 675,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,EV3 1408
ESL 102R,"003,004",Thursday,"December 8, 2011",9:00 AM,11:30 AM,"REN 0104,0106"
ESL 102R,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,REN 2107
ESL 102R,002,Thursday,"December 8, 2011",9:00 AM,11:30 AM,REN 1303
ESL 129R,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,REN 2106
ESL 129R,,,,View your exam schedule in Quest,,,,
FINE 241,001,Monday,"December 12, 2011",9:00 AM,11:00 AM,AL 208
FINE 362,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,ECH 1220
FR 151,001 to 004,Friday,"December 16, 2011",7:30 PM,9:30 PM,"PAC 6,7,8"
FR 151,,,,View your exam schedule in Quest,,,,
FR 152,001 to 004,Saturday,"December 10, 2011",12:30 PM,2:30 PM,"PAC 11,12"
FR 152,,,,View your exam schedule in Quest,,,,
FR 192A,"001,002,004 to 006",Saturday,"December 10, 2011",12:30 PM,2:30 PM,"PAC 7,8"
FR 192A,003,Saturday,"December 10, 2011",12:30 PM,2:30 PM,STJ 3016
FR 192A,,,,View your exam schedule in Quest,,,,
FR 192B,"001,002",Thursday,"December 22, 2011",12:30 PM,2:30 PM,RCH 301
FR 192B,003,Thursday,"December 22, 2011",12:30 PM,2:30 PM,STJ 3014
FR 192B,,,,View your exam schedule in Quest,,,,
FR 197,001,Tuesday,"December 20, 2011",9:00 AM,11:00 AM,AL 105
FR 251,"001,002",Monday,"December 12, 2011",4:00 PM,6:00 PM,"AL 105,124"
FR 251,,,,View your exam schedule in Quest,,,,
FR 252,001,Friday,"December 16, 2011",12:30 PM,2:30 PM,AL 105
FR 276,001,Monday,"December 19, 2011",12:30 PM,2:30 PM,AL 105
FR 291,,,,View your exam schedule in Quest,,,,
FR 297,,,,View your exam schedule in Quest,,,,
FR 486,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,ML 246
FR 487,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,ML 246
GENE 121,001,Saturday,"December 10, 2011",4:00 PM,6:30 PM,"RCH 301,302"
GEOG 102,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"DC 1350,1351"
GEOG 201,001,Friday,"December 16, 2011",12:30 PM,3:00 PM,M3 1006
GEOG 202,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,"RCH 301,302,305"
GEOG 210,001,Exam removed from the schedule.  Contact the instructor for further information.,,,,
GEOG 281,001,Thursday,"December 15, 2011",4:00 PM,6:30 PM,M3 1006
GEOG 309,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,"PAC 11,12"
GEOG 310,001,Tuesday,"December 13, 2011",7:30 PM,10:00 PM,MC 4045
GEOG 311,001,Wednesday,"December 21, 2011",4:00 PM,6:30 PM,PAC 3
GEOG 316,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,RCH 305
GEOG 353,001,Tuesday,"December 13, 2011",12:30 PM,3:00 PM,RCH 307
GEOG 393,001,Tuesday,"December 20, 2011",12:30 PM,3:00 PM,RCH 301
GEOG 404,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,EV3 1408
GEOG 459,001,Thursday,"December 15, 2011",12:30 PM,3:00 PM,PAC 2
GER 100,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"AL 105,124"
GER 101,001 to 007,Tuesday,"December 20, 2011",7:30 PM,10:00 PM,"HH 1101,1102"
GER 101,,,,View your exam schedule in Quest,,,,
GER 102,001,Thursday,"December 22, 2011",7:30 PM,10:00 PM,ML 246
GER 102,,,,View your exam schedule in Quest,,,,
GER 201,001,Thursday,"December 22, 2011",9:00 AM,11:30 AM,ML 246
GER 201,,,,View your exam schedule in Quest,,,,
GER 203,001,Friday,"December 9, 2011",7:30 PM,10:00 PM,ML 246
GER 303,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,ML 349
GER 334,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,ML 212
GER 362,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,ECH 1220
GERON 201,001,Friday,"December 16, 2011",9:00 AM,10:30 AM,M3 1006
GERON 220,001,Saturday,"December 17, 2011",12:30 PM,3:00 PM,M3 1006
GERON 245,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,"RCH 302,305"
GERON 255,001,Friday,"December 16, 2011",4:00 PM,6:30 PM,"PAC 4,5"
GRK 331,001,Thursday,"December 8, 2011",9:00 AM,11:00 AM,RCH 206
HIST 103,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,STJ 3014
HIST 104,001,Friday,"December 16, 2011",9:00 AM,11:00 AM,PAS 2083
HIST 105,001,Monday,"December 19, 2011",4:00 PM,6:30 PM,"HH 1101,1102"
HIST 110,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,CGC 1111
HIST 113,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,STJ 1036
HIST 221,001,Thursday,"December 15, 2011",9:00 AM,11:00 AM,AL 105
HIST 223,001,Friday,"December 9, 2011",9:00 AM,11:00 AM,MC 4021
HIST 226,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,RCH 301
HIST 232,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,HH 1101
HIST 250,001,Wednesday,"December 21, 2011",9:00 AM,11:30 AM,RCH 302
HIST 253,001,Saturday,"December 17, 2011",4:00 PM,6:30 PM,AL 208
HIST 257,001,Tuesday,"December 13, 2011",4:00 PM,6:30 PM,AL 208
HIST 265,001,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,HH 1102
HIST 291,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,HH 1102
HIST 348,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,CGC 1300
HIST 356,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,HH 1102
HIST 358,001,Saturday,"December 17, 2011",9:00 AM,11:00 AM,AL 208
HIST 389,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,STJ 3014
HLTH 101,"001,002",Friday,"December 9, 2011",9:00 AM,11:30 AM,"PAC 6,7,8"
HLTH 201,001,Friday,"December 16, 2011",9:00 AM,10:30 AM,M3 1006
HLTH 220,001,Saturday,"December 17, 2011",12:30 PM,3:00 PM,M3 1006
HLTH 245,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,"RCH 302,305"
HLTH 333,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,RCH 211
HLTH 344,001,Tuesday,"December 20, 2011",12:30 PM,3:00 PM,RCH 211
HLTH 346,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,"PAC 7,8,9,10"
HLTH 407,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"RCH 110,112"
HLTH 433,001,Wednesday,"December 21, 2011",12:30 PM,3:00 PM,PAC 4
HLTH 442,001,Thursday,"December 22, 2011",9:00 AM,11:00 AM,"PAC 11,12"
HRM 200,001,Tuesday,"December 20, 2011",7:30 PM,9:30 PM,"PAC 4,5,6,7"
HRM 301,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,RCH 302
HRM 303,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"RCH 307,308"
HUMSC 101,002,Thursday,"December 22, 2011",9:00 AM,11:30 AM,STJ 3012
HUMSC 101,003,Thursday,"December 8, 2011",9:00 AM,11:30 AM,STJ 3013
HUMSC 201,001,Monday,"December 19, 2011",7:30 PM,10:00 PM,STJ 3013
INTEG 120,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,AL 105
INTST 101,"001,002", "Exam removed from the schedule. Contact the instructor for further information",,,,
INTST 101,,,,View your exam schedule in Quest,,,,
ISS 131R,,,,View your exam schedule in Quest,,,,
ISS 150R,001,Tuesday,"December 20, 2011",7:30 PM,10:00 PM,REN 2106
ISS 150R,,,,View your exam schedule in Quest,,,,
ISS 205R,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,REN 2102
ISS 215R,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,REN 2102
ISS 250R,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,REN 2106
ISS 250R,002,Thursday,"December 8, 2011",12:30 PM,3:00 PM,REN 2107
ISS 250R,003,Thursday,"December 8, 2011",12:30 PM,3:00 PM,"REN 2102,2104"
ISS 251R,,,,View your exam schedule in Quest,,,,
ISS 350H,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,REN 2106
ISS 355R,001,Monday,"December 19, 2011",7:30 PM,10:00 PM,REN 2102
JAPAN 101R,"001,002",Saturday,"December 10, 2011",12:30 PM,3:00 PM,STJ 1036
JAPAN 102R,001,Monday,"December 19, 2011",7:30 PM,10:00 PM,REN 2106
JAPAN 111R,001,Thursday,"December 22, 2011",9:00 AM,11:00 AM,REN 2102
JAPAN 201R,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,REN 2107
JAPAN 202R,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,REN 2102
KIN 104,001,Wednesday,"December 14, 2011",4:00 PM,6:30 PM,"DC 1350,1351"
KIN 105,001,Monday,"December 12, 2011",4:00 PM,6:30 PM,"DC 1350,1351"
KIN 217,001,Monday,"December 19, 2011",4:00 PM,6:30 PM,"PAC 5,6,7,8"
KIN 242,001,Tuesday,"December 13, 2011",4:00 PM,6:30 PM,"RCH 302,305"
KIN 255,001,Friday,"December 16, 2011",12:30 PM,2:30 PM,"RCH 301,302,306,307"
KIN 301,001,Thursday,"December 22, 2011",7:30 PM,9:30 PM,"PAC 9,10"
KIN 346,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,"PAC 7,8,9,10"
KIN 354,001,Friday,"December 16, 2011",4:00 PM,6:00 PM,"DC 1350,1351"
KIN 405,001,Tuesday,"December 20, 2011",12:30 PM,3:00 PM,MC 1085
KIN 406,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,"RCH 110,112"
KIN 407,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"RCH 110,112"
KIN 422,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,RCH 307
KIN 456,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,RCH 112
KOREA 101R,"001,002",Tuesday,"December 20, 2011",7:30 PM,10:00 PM,"REN 2102,2107"
LAT 101,001 to 003,Thursday,"December 15, 2011",9:00 AM,11:00 AM,"RCH 110,112"
LAT 201,001,Thursday,"December 15, 2011",7:30 PM,9:30 PM,MC 4060
LS 101,,,,View your exam schedule in Quest,,,,
LS 280,001,Friday,"December 16, 2011",4:00 PM,6:30 PM,AL 208
LS 321,001,Friday,"December 9, 2011",9:00 AM,11:30 AM,RCH 307
MATBUS 470,001,Thursday,"December 22, 2011",7:30 PM,10:00 PM,PAC 5
MATBUS 471,001,Monday,"December 19, 2011",7:30 PM,10:00 PM,RCH 307
MATH 103,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,RCH 110
MATH 103,,,,View your exam schedule in Quest,,,,
MATH 104,001,Tuesday,"December 13, 2011",4:00 PM,6:30 PM,RCH 301
MATH 106,001,Thursday,"December 22, 2011",7:30 PM,10:00 PM,PAC 6
MATH 106,,,,View your exam schedule in Quest,,,,
MATH 109,"001,002",Wednesday,"December 21, 2011",12:30 PM,3:00 PM,"PAC 6,7,8"
MATH 114,001,Thursday,"December 22, 2011",4:00 PM,6:30 PM,PAC 7
MATH 115,001 to 008,Wednesday,"December 14, 2011",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10"
MATH 115,051 (UAE),Thursday,"December 15, 2011",9:00 AM,11:30 AM,Exam Hall
MATH 116,001 to 007,Monday,"December 12, 2011",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8"
MATH 116,051 (UAE),Sunday,"December 18, 2011",9:00 AM,11:30 AM,Exam Hall
MATH 117,001 to 005,Monday,"December 12, 2011",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6"
MATH 124,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,"PAC 7,8"
MATH 127,001 to 009,Friday,"December 16, 2011",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8"
MATH 127,,,,View your exam schedule in Quest,,,,
MATH 128,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"PAC 11,12"
MATH 128,,,,View your exam schedule in Quest,,,,
MATH 135,"001 to 003, 006 to 010",Wednesday,"December 14, 2011",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12"
MATH 135,"004,005",Wednesday,"December 14, 2011",9:00 AM,11:30 AM,"M3 1006,MC 4020,4021,4045"
MATH 136,001 to 003,Monday,"December 19, 2011",9:00 AM,11:30 AM,"PAC 7,8,9,10"
MATH 136,051 (UAE),Thursday,"December 15, 2011",9:00 AM,11:30 AM,Exam Hall
MATH 137,"001,002,004 to 007,009,011",Monday,"December 12, 2011",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11"
MATH 137,"003,010",Monday,"December 12, 2011",9:00 AM,11:30 AM,"DC 1350,1351,MC 1056"
MATH 137,008,Monday,"December 12, 2011",9:00 AM,11:30 AM,M3 1006
MATH 137,051 (UAE),Sunday,"December 18, 2011",9:00 AM,11:30 AM,Exam Hall
MATH 138,001 to 003,Wednesday,"December 21, 2011",9:00 AM,11:30 AM,"PAC 1,2,3"
MATH 145,001,Thursday,"December 15, 2011",7:30 PM,10:00 PM,MC 2038
MATH 147,001,Thursday,"December 8, 2011",7:30 PM,10:00 PM,MC 1085
MATH 207,001,Friday,"December 16, 2011",12:30 PM,3:00 PM,PAC 10
MATH 211,001,Friday,"December 16, 2011",4:00 PM,6:30 PM,M3 1006
MATH 212,001,Wednesday,"December 21, 2011",4:00 PM,6:30 PM,PAC 4
MATH 215,001,Friday,"December 9, 2011",7:30 PM,10:00 PM,"PAC 11,12"
MATH 217,001,Tuesday,"December 20, 2011",9:00 AM,11:30 AM,PAC 8
MATH 217,051 (UAE),Sunday,"December 11, 2011",9:00 AM,11:30 AM,Z-238
MATH 218,001,Monday,"December 12, 2011",12:30 PM,3:00 PM,"PAC 9,10"
MATH 225,001,Thursday,"December 22, 2011",12:30 PM,3:00 PM,PAC 4
MATH 227,001,Wednesday,"December 21, 2011",9:00 AM,11:30 AM,"PAC 9,10"
MATH 228,001,Thursday,"December 8, 2011",12:30 PM,3:00 PM,MC 1085
MATH 229,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,RCH 306
MATH 235,001 to 007,Monday,"December 19, 2011",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6"
MATH 235,051 (UAE),Tuesday,"December 13, 2011",9:00 AM,11:30 AM,Z-242
MATH 237,001 to 007,Tuesday,"December 13, 2011",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6"
MATH 237,051 (UAE),Sunday,"December 11, 2011",9:00 AM,11:30 AM,Z-242
MATH 239,001 to 003,Friday,"December 16, 2011",12:30 PM,3:00 PM,"DC 1350,1351"
MATH 245,001,Saturday,"December 17, 2011",9:00 AM,11:30 AM,MC 2038
MATH 247,001,Saturday,"December 10, 2011",7:30 PM,10:00 PM,RCH 307
MATH 249,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,"RCH 306 MC 1085,2017,2054,4020,4021,4045, MC 4059,4060,4061"
ME 201,001,Friday,"December 16, 2011",4:00 PM,6:30 PM,"E5 3101,3102"
ME 202,001,Wednesday,"December 14, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 203,001,Monday,"December 19, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 212,001,Saturday,"December 17, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 219,001,Saturday,"December 10, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 220,001,Friday,"December 9, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 230,001,Thursday,"December 8, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 235,001,Tuesday,"December 20, 2011",4:00 PM,6:30 PM,PAC 11
ME 250,001,Tuesday,"December 13, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 250,002,Friday,"December 16, 2011",9:00 AM,11:30 AM,RCH 301
ME 262,001,Thursday,"December 15, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 269,001,Monday,"December 12, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
ME 322,001,Monday,"December 19, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
