Exam,Section(s),Day,Date,Start,End,Location,
MTE 111,001,Thursday,"August 7, 2014",9:00 AM,11:30 AM,"PAC 2,3",
MTE 119,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,"PAC 4,5",
MTE 120,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,"PAC 1,2",
MTE 140,001,Saturday,"August 9, 2014",12:30 PM,3:00 PM,"PAC 4,5",
MTE 320,001,Tuesday,"August 5, 2014",9:00 AM,11:30 AM,"MC 4020,4021",
MTE 325,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,"PAC 1,2",
MTHEL 131,001,Friday,"August 15, 2014",7:30 PM,10:00 PM,PAC 1,
MTHEL 206A,001,Exam removed from the schedule.  Contact instructor for further information.,,,,,
MUSIC 100,001,Wednesday,"August 6, 2014",12:30 PM,3:00 PM,CGC 1111,
MUSIC 140,001,Wednesday,"August 6, 2014",7:30 PM,10:00 PM,"DC 1350,1351",
NE 202,001,Thursday,"August 7, 2014",9:00 AM,11:30 AM,"MC 4059,4061",
NE 217,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,PAC 3,
NE 226,001,Tuesday,"August 12, 2014",12:30 PM,3:00 PM,PAC 3,
NE 232,001,Thursday,"August 14, 2014",12:30 PM,3:00 PM,PAC 2,
NE 242,001,Saturday,"August 16, 2014",12:30 PM,3:00 PM,PAC 5,
NE 318,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,PAC 3,
NE 333,001,Monday,"August 11, 2014",12:30 PM,3:00 PM,PAC 8,
NE 334,001,Wednesday,"August 13, 2014",4:00 PM,6:30 PM,PAC 6,
NE 343,001,Friday,"August 15, 2014",12:30 PM,3:00 PM,PAC 3,
NE 344,001,Tuesday,"August 12, 2014",4:00 PM,6:30 PM,PAC 7,
PACS 201,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL 145,001,Friday,"August 15, 2014",7:30 PM,10:00 PM,AL 208,
PHIL 145,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL 202,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL 215,001,Tuesday,"August 12, 2014",12:30 PM,3:00 PM,RCH 301,
PHIL 215,002,Tuesday,"August 12, 2014",12:30 PM,3:00 PM,RCH 302,
PHIL 215,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL 220,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL 256,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL 324,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHIL 384,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHYS 112,001,Friday,"August 15, 2014",7:30 PM,10:00 PM,"PAC 4,5",
PHYS 122,001,Saturday,"August 16, 2014",12:30 PM,3:00 PM,PHY 308,
PHYS 122,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PHYS 125,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,PAC 7,
PHYS 234,001,Thursday,"August 7, 2014",7:30 PM,10:00 PM,"PAC 1,2",
PHYS 239,001,Friday,"August 8, 2014",7:30 PM,10:00 PM,PHY 313,
PHYS 242,001,Monday,"August 11, 2014",12:30 PM,3:00 PM,MC 4020,
PHYS 263,001,Friday,"August 15, 2014",12:30 PM,3:00 PM,MC 4020,
PHYS 270,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,PHY 308,
PHYS 280,001,Tuesday,"August 5, 2014",12:30 PM,3:00 PM,MC 4045,
PHYS 334,001,Friday,"August 8, 2014",12:30 PM,3:00 PM,PHY 235,
PHYS 358,001,Wednesday,"August 13, 2014",12:30 PM,3:00 PM,"PAC 7,8",
PHYS 363,001,Saturday,"August 16, 2014",12:30 PM,3:00 PM,PHY 313,
PHYS 364,001,Wednesday,"August 6, 2014",12:30 PM,3:00 PM,PHY 313,
PHYS 380,001,Tuesday,"August 5, 2014",9:00 AM,11:30 AM,PHY 308,
PLAN 281,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,M3 1006,
PMATH 330,001,Friday,"August 8, 2014",12:30 PM,3:00 PM,MC 4061,
PMATH 332,001,Saturday,"August 9, 2014",7:30 PM,10:00 PM,PAC 3,
PMATH 336,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,MC 4060,
PMATH 347,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,PAC 6,
PMATH 351,001,Friday,"August 15, 2014",9:00 AM,11:30 AM,PAC 12,
PMATH 352,001,Wednesday,"August 6, 2014",12:30 PM,3:00 PM,MC 4045,
PMATH 360,001,Saturday,"August 16, 2014",9:00 AM,11:30 AM,PAC 3,
PMATH 441,001,Friday,"August 8, 2014",9:00 AM,11:30 AM,PAC 10,
PMATH 450,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,PAC 8,
PMATH 641,001,Friday,"August 8, 2014",9:00 AM,11:30 AM,PAC 10,
PSCI 100,001,Thursday,"August 14, 2014",12:30 PM,3:00 PM,PAC 8,
PSCI 260,001,Monday,"August 11, 2014",7:30 PM,10:00 PM,PAC 5,
PSCI 281,001,Wednesday,"August 13, 2014",4:00 PM,6:00 PM,MC 4045,
PSCI 331,001,Tuesday,"August 5, 2014",7:30 PM,9:30 PM,MC 4040,
PSYCH 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PSYCH 207,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PSYCH 211,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PSYCH 213R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PSYCH 236,001,Saturday,"August 16, 2014",4:00 PM,6:30 PM,STJ 2017,
PSYCH 256,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
PSYCH 306,001,Thursday,"August 7, 2014",9:00 AM,11:30 AM,DC 1351,
PSYCH 354R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
REC 280,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
RS 100,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
RS 170,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
RS 235,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
RS 270R,081 On Line,Exam removed from the schedule.  Contact CEL for further information.,,,,,
SCI 238,001,Thursday,"August 14, 2014",7:30 PM,10:00 PM,"PAC 1,2",
SCI 255,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SDS 131R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SDS 150R,001,Wednesday,"August 13, 2014",4:00 PM,6:30 PM,STJ 2017,
SDS 210R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SDS 215R,001,Wednesday,"August 6, 2014",9:00 AM,11:30 AM,STJ 3027,
SDS 250R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SDS 251R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SE 464,001,Tuesday,"August 5, 2014",7:30 PM,10:00 PM,PAC 3,
SOC 200,001,Tuesday,"August 5, 2014",12:30 PM,2:30 PM,HH 1101,
SOC 224R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOC 227,001,Wednesday,"August 6, 2014",12:30 PM,2:30 PM,HH 1101,
SOC 229,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOC 256,001,Saturday,"August 16, 2014",12:30 PM,2:30 PM,PAS 1229,
SOC 327,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOCWK 120R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOCWK 221R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOCWK 300R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SOCWK 355R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SPCOM 434,001,Exam removed from the schedule.  Contact instructor for further information.,,,,,
STAT 230,"001,002",Wednesday,"August 6, 2014",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6",
STAT 231,001 to 003,Thursday,"August 7, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6",
STAT 330,"001,002",Thursday,"August 14, 2014",9:00 AM,11:30 AM,PAC 7,
STAT 331,001,Wednesday,"August 13, 2014",9:00 AM,11:30 AM,M3 1006,
STAT 332,001,Thursday,"August 7, 2014",4:00 PM,6:30 PM,"PAC 1,2",
STAT 333,001,Wednesday,"August 6, 2014",12:30 PM,3:00 PM,"PAC 4,5",
STAT 334,001,Thursday,"August 14, 2014",9:00 AM,11:30 AM,PAC 3,
STAT 371,001,Monday,"August 11, 2014",4:00 PM,6:30 PM,PAC 4,
STAT 372,001,Tuesday,"August 12, 2014",7:30 PM,10:00 PM,DC 1351,
STAT 430,001,Tuesday,"August 5, 2014",9:00 AM,11:30 AM,PAC 6,
STAT 431,001,Monday,"August 11, 2014",12:30 PM,3:00 PM,"PAC 11,12",
STAT 443,001,Wednesday,"August 13, 2014",12:30 PM,3:00 PM,"PAC 1,2",
STAT 830,001,Tuesday,"August 5, 2014",9:00 AM,11:30 AM,PAC 6,
SWREN 224R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SWREN 250R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SWREN 300R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
SYDE 112,001,Friday,"August 8, 2014",9:00 AM,11:30 AM,"E5 6006,6008",
SYDE 114,001,Wednesday,"August 6, 2014",4:00 PM,6:30 PM,"E5 6006,6008",
SYDE 162,001,Tuesday,"August 5, 2014",4:00 PM,6:30 PM,"E5 6006,6008",
SYDE 182,001,Wednesday,"August 13, 2014",9:00 AM,11:30 AM,"E5 6006,6008",
SYDE 192,001,Monday,"August 11, 2014",9:00 AM,11:30 AM,"E5 6006,6008",
SYDE 311,001,Tuesday,"August 12, 2014",12:30 PM,3:00 PM,"E5 6006,6008",
SYDE 351,001,Thursday,"August 7, 2014",9:00 AM,11:30 AM,"E5 6006,6008",
SYDE 351,002,Saturday,"August 9, 2014",9:00 AM,11:30 AM,"RCH 301,302",
SYDE 381,001,Thursday,"August 14, 2014",12:30 PM,3:00 PM,"E5 6006,6008",
SYDE 383,001,Tuesday,"August 5, 2014",9:00 AM,10:00 AM,"E5 6006,6008",
WS 222,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,
