Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,,,,,,,,,,
COMM 421,001,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,RCH 306,,,,,,,,,,,,,,,
COMM 431,001,Tuesday,"December 16, 2014",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,,,,,
CROAT 101,001,Thursday,"December 11, 2014",9:00 AM,11:30 AM,ML 246,,,,,,,,,,,,,,,
CROAT 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
CROAT 201,001,Friday,"December 5, 2014",4:00 PM,6:30 PM,ML 212,,,,,,,,,,,,,,,
CS 100,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
CS 115,"001,002,004 to 006",Friday,"December 12, 2014",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9",,,,,,,,,,,,,,,
CS 115,003,Friday,"December 12, 2014",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,,,,,,
CS 116,"001,002",Friday,"December 12, 2014",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,,,,,,
CS 135,001 to 008,Friday,"December 12, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,9,10",,,,,,,,,,,,,,,
CS 136,"001,002",Friday,"December 12, 2014",12:30 PM,3:00 PM,"RCH 301,302,305,306",,,,,,,,,,,,,,,
CS 137,001,Tuesday,"December 16, 2014",12:30 PM,3:00 PM,"PAC 4,5",,,,,,,,,,,,,,,
CS 145,001,Thursday,"December 18, 2014",7:30 PM,10:00 PM,PAC 4,,,,,,,,,,,,,,,
CS 200,001,Friday,"December 5, 2014",7:30 PM,10:00 PM,RCH 204,,,,,,,,,,,,,,,
CS 230,001,Wednesday,"December 17, 2014",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,,,,,
CS 234,001,Friday,"December 19, 2014",9:00 AM,11:30 AM,PAC 4,,,,,,,,,,,,,,,
CS 240,"001,002",Saturday,"December 13, 2014",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,,,,,,
CS 241,001 to 004,Monday,"December 8, 2014",7:30 PM,10:00 PM,"DC 1350,1351,MC 1056",,,,,,,,,,,,,,,
CS 245,001 to 004,Thursday,"December 18, 2014",9:00 AM,11:30 AM,"PAC 4,5,6,7",,,,,,,,,,,,,,,
CS 246,001 to 004,Monday,"December 8, 2014",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,,,,,,,,,,,,,
CS 251,"001,002",Monday,"December 15, 2014",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,,,,,,
CS 330,"001,002",Monday,"December 15, 2014",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,,,,,,
CS 335,001,Monday,"December 8, 2014",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,,,,,
CS 338,001,Wednesday,"December 17, 2014",4:00 PM,6:30 PM,"PAC 2,3",,,,,,,,,,,,,,,
CS 341,001 to 003,Wednesday,"December 17, 2014",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,,,,,,
CS 343,"001,002",Friday,"December 12, 2014",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,,,,,
CS 348,001 to 004,Monday,"December 8, 2014",9:00 AM,11:30 AM,"RCH 301,302,305,306,307",,,,,,,,,,,,,,,
CS 349,"001,002",Thursday,"December 11, 2014",9:00 AM,11:30 AM,"RCH 301,302",,,,,,,,,,,,,,,
CS 350,001 to 003,Thursday,"December 4, 2014",7:30 PM,10:00 PM,"PAC 7,8,12",,,,,,,,,,,,,,,
CS 360,001,Friday,"December 12, 2014",7:30 PM,10:00 PM,RCH 301,,,,,,,,,,,,,,,
CS 370,"001,002",Tuesday,"December 16, 2014",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,,,,,,
CS 430,001,Saturday,"December 13, 2014",4:00 PM,6:30 PM,MC 4045,,,,,,,,,,,,,,,
CS 432,001,Tuesday,"December 9, 2014",7:30 PM,10:00 PM,PAC 11,,,,,,,,,,,,,,,
CS 436,001,Wednesday,"December 10, 2014",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,,,,,
CS 445,001,Thursday,"December 11, 2014",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,
CS 456,"001,002",Tuesday,"December 9, 2014",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,,,,,,
CS 458,001 to 003,Saturday,"December 6, 2014",12:30 PM,3:00 PM,"PAC 4,5",,,,,,,,,,,,,,,
CS 466,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,RCH 302,,,,,,,,,,,,,,,
CS 486,001,Tuesday,"December 9, 2014",12:30 PM,3:00 PM,"RCH 110,112",,,,,,,,,,,,,,,
CS 488,001,Thursday,"December 4, 2014",7:30 PM,10:00 PM,RCH 305,,,,,,,,,,,,,,,
CS 645,"001,002",Thursday,"December 11, 2014",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,
CS 656,002,Tuesday,"December 9, 2014",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,,,,,,
CS 658,"001,002",Saturday,"December 6, 2014",12:30 PM,3:00 PM,"PAC 4,5",,,,,,,,,,,,,,,
CS 666,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,RCH 302,,,,,,,,,,,,,,,
CS 686,001,Tuesday,"December 9, 2014",12:30 PM,3:00 PM,"RCH 110,112",,,,,,,,,,,,,,,
CS 688,001,Thursday,"December 4, 2014",7:30 PM,10:00 PM,RCH 305,,,,,,,,,,,,,,,
DRAMA 243,001,Thursday,"December 11, 2014",12:30 PM,2:00 PM,RCH 205,,,,,,,,,,,,,,,
DRAMA 386,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
DUTCH 101,001,Monday,"December 8, 2014",9:00 AM,11:30 AM,AL 105,,,,,,,,,,,,,,,
EARTH 121,001,Wednesday,"December 10, 2014",9:00 AM,11:30 AM,"PAC 6,7,8",,,,,,,,,,,,,,,
EARTH 121L,001 to 005,Saturday,"December 13, 2014",12:30 PM,2:30 PM,M3 1006,,,,,,,,,,,,,,,
EARTH 123,001,Friday,"December 12, 2014",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,,,,,
EARTH 123L,001 to 004,Monday,"December 8, 2014",9:00 AM,11:30 AM,MC 1085,,,,,,,,,,,,,,,
EARTH 231,001,Wednesday,"December 17, 2014",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,
EARTH 235,001,Monday,"December 8, 2014",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,,,,,,
EARTH 260,001,Thursday,"December 4, 2014",7:30 PM,10:00 PM,RCH 302,,,,,,,,,,,,,,,
EARTH 331,001,Friday,"December 5, 2014",4:00 PM,6:30 PM,RCH 204,,,,,,,,,,,,,,,
EARTH 342,001,Tuesday,"December 9, 2014",7:30 PM,10:00 PM,PAC 6,,,,,,,,,,,,,,,
EARTH 359,001,Monday,"December 15, 2014",12:30 PM,3:00 PM,RCH 301,,,,,,,,,,,,,,,
EARTH 421,001,Tuesday,"December 16, 2014",12:30 PM,3:00 PM,PAC 3,,,,,,,,,,,,,,,
EARTH 440,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,,,,,,
EARTH 461,001,Thursday,"December 4, 2014",7:30 PM,10:00 PM,RCH 306,,,,,,,,,,,,,,,
EARTH 668,001,Thursday,"December 4, 2014",7:30 PM,10:00 PM,RCH 306,,,,,,,,,,,,,,,
ECE 105,001 to 004,Wednesday,"December 10, 2014",12:30 PM,3:00 PM,"PAC 4,5,6,7,8,11",,,,,,,,,,,,,,,
ECE 140,001 to 004,Friday,"December 5, 2014",9:00 AM,11:30 AM,"M3 1006,MC 1085,4020,4021,
MC 4045,4059,4061",,,,,,,,,,,,,,,
ECE 150,001 to 003,Saturday,"December 13, 2014",9:00 AM,11:30 AM,"PAC 4,5,6,7",,,,,,,,,,,,,,,
ECE 205,001,Saturday,"December 13, 2014",12:30 PM,3:00 PM,"MC 4059,4060,4061",,,,,,,,,,,,,,,
ECE 206,001,Monday,"December 15, 2014",12:30 PM,3:00 PM,"RCH 204,211",,,,,,,,,,,,,,,
ECE 207,"001,002",Friday,"December 5, 2014",12:30 PM,3:00 PM,"RCH 302,305,306,308",,,,,,,,,,,,,,,
ECE 209,001,Tuesday,"December 9, 2014",9:00 AM,11:30 AM,"MC 2017,2054",,,,,,,,,,,,,,,
ECE 222,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,"RCH 103,105,110",,,,,,,,,,,,,,,
ECE 222,002,Thursday,"December 11, 2014",12:30 PM,3:00 PM,"RCH 301,308,309",,,,,,,,,,,,,,,
ECE 224,"001,002",Monday,"December 15, 2014",4:00 PM,6:30 PM,"PAC 2,3",,,,,,,,,,,,,,,
ECE 240,001,Friday,"December 5, 2014",4:00 PM,6:30 PM,"RCH 301,302",,,,,,,,,,,,,,,
ECE 242,"001,002",Friday,"December 12, 2014",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,
ECE 250,001,Monday,"December 8, 2014",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,
ECE 254,001,Wednesday,"December 17, 2014",4:00 PM,6:30 PM,PAC 4,,,,,,,,,,,,,,,
ECE 290,001,Tuesday,"December 16, 2014",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,,,,,
ECE 318,001,Friday,"December 12, 2014",9:00 AM,11:30 AM,"RCH 302,305",,,,,,,,,,,,,,,
ECE 356,001,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,"PAC 9,10",,,,,,,,,,,,,,,
ECE 358,001,Tuesday,"December 16, 2014",12:30 PM,3:00 PM,PAC 6,,,,,,,,,,,,,,,
ECE 361,001,Wednesday,"December 10, 2014",4:00 PM,6:30 PM,RCH 110,,,,,,,,,,,,,,,
ECE 390,001,Monday,"December 8, 2014",7:30 PM,10:00 PM,"PAC 11,12",,,,,,,,,,,,,,,
ECE 484,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,"DWE 1501,2402",,,,,,,,,,,,,,,
ECON 101,001,Thursday,"December 4, 2014",4:00 PM,6:30 PM,"PAC 4,5",,,,,,,,,,,,,,,
ECON 101,002,Thursday,"December 4, 2014",4:00 PM,6:30 PM,"PAC 3,6,10",,,,,,,,,,,,,,,
ECON 101,003,Thursday,"December 4, 2014",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,,,,,,
ECON 101,004,Thursday,"December 4, 2014",4:00 PM,6:30 PM,"RCH 103,105,110,112",,,,,,,,,,,,,,,
ECON 101,005,Thursday,"December 4, 2014",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,,,,,,
ECON 101,006,Thursday,"December 4, 2014",4:00 PM,6:30 PM,"PAC 1,2,9",,,,,,,,,,,,,,,
ECON 101,007,Thursday,"December 4, 2014",4:00 PM,6:30 PM,"RCH 301,302,306,307",,,,,,,,,,,,,,,
ECON 101,008,Thursday,"December 4, 2014",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,,,,,
ECON 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ECON 102,"001,003",Tuesday,"December 16, 2014",4:00 PM,6:30 PM,"PAC 1,2,3",,,,,,,,,,,,,,,
ECON 102,002,Tuesday,"December 16, 2014",4:00 PM,6:30 PM,"PAC 4,5,6",,,,,,,,,,,,,,,
ECON 120W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,,,,,
ECON 201,"001,005",Tuesday,"December 9, 2014",4:00 PM,6:30 PM,"PAC 4,5",,,,,,,,,,,,,,,
ECON 201,002,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,,,,,,
ECON 201,003,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,,,,,,
ECON 201,004,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,PAC 7,,,,,,,,,,,,,,,
ECON 202,"001,003",Friday,"December 5, 2014",7:30 PM,10:00 PM,"RCH 103,105,110,112",,,,,,,,,,,,,,,
ECON 202,"002,004",Friday,"December 5, 2014",7:30 PM,10:00 PM,M3 1006,,,,,,,,,,,,,,,
ECON 211,001,Thursday,"December 11, 2014",9:00 AM,11:30 AM,RCH 211,,,,,,,,,,,,,,,
ECON 221,001,Monday,"December 8, 2014",12:30 PM,3:00 PM,RCH 302,,,,,,,,,,,,,,,
ECON 221,002,Monday,"December 8, 2014",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,,,,,,
ECON 231,"001,002",Tuesday,"December 16, 2014",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,,,,,
ECON 254,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,"RCH 103,105",,,,,,,,,,,,,,,
ECON 301,001,Thursday,"December 11, 2014",7:30 PM,10:00 PM,PAC 7,,,,,,,,,,,,,,,
ECON 301,002,Thursday,"December 11, 2014",7:30 PM,10:00 PM,PAC 8,,,,,,,,,,,,,,,
ECON 302,001,Wednesday,"December 10, 2014",7:30 PM,10:00 PM,PAC 1,,,,,,,,,,,,,,,
ECON 302,002,Wednesday,"December 10, 2014",7:30 PM,10:00 PM,PAC 2,,,,,,,,,,,,,,,
ECON 304,001,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,PAC 8,,,,,,,,,,,,,,,
ECON 311,001,Saturday,"December 6, 2014",7:30 PM,10:00 PM,RCH 306,,,,,,,,,,,,,,,
ECON 321,001,Friday,"December 12, 2014",7:30 PM,10:00 PM,RCH 308,,,,,,,,,,,,,,,
ECON 321,002,Friday,"December 12, 2014",7:30 PM,10:00 PM,RCH 302,,,,,,,,,,,,,,,
ECON 341,001,Thursday,"December 18, 2014",9:00 AM,10:30 AM,MC 4045,,,,,,,,,,,,,,,
ECON 351,001,Monday,"December 8, 2014",7:30 PM,9:30 PM,RCH 103,,,,,,,,,,,,,,,
ECON 355,001,Saturday,"December 13, 2014",12:30 PM,3:00 PM,MC 4020,,,,,,,,,,,,,,,
ECON 361,001,Monday,"December 15, 2014",4:00 PM,6:30 PM,"PAC 9,10",,,,,,,,,,,,,,,
ECON 371,"001,002",Saturday,"December 13, 2014",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,,,,,,
ECON 381,001,Monday,"December 15, 2014",7:30 PM,10:00 PM,RCH 307,,,,,,,,,,,,,,,
ECON 401,001,Wednesday,"December 10, 2014",12:30 PM,3:00 PM,PAC 12,,,,,,,,,,,,,,,
ECON 402,001,Saturday,"December 6, 2014",4:00 PM,5:30 PM,RCH 204,,,,,,,,,,,,,,,
ECON 404,001,Friday,"December 5, 2014",4:00 PM,6:30 PM,RCH 205,,,,,,,,,,,,,,,
ECON 421,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,RCH 206,,,,,,,,,,,,,,,
ECON 421,002,Thursday,"December 11, 2014",12:30 PM,3:00 PM,RCH 204,,,,,,,,,,,,,,,
ECON 483,001,Thursday,"December 18, 2014",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,,,,,,
ELPE 100,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENBUS 202,001,Monday,"December 8, 2014",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,,,,,,,,,,
ENBUS 204,001,Monday,"December 15, 2014",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,,,,,,
ENBUS 409,001,Friday,"December 12, 2014",12:30 PM,3:00 PM,RCH 308,,,,,,,,,,,,,,,
ENGL 100A,001,Monday,"December 8, 2014",9:00 AM,11:30 AM,REN 2102,,,,,,,,,,,,,,,
ENGL 101A,001,Friday,"December 5, 2014",12:30 PM,3:00 PM,HH 1102,,,,,,,,,,,,,,,
ENGL 101A,002,Saturday,"December 6, 2014",4:00 PM,6:30 PM,STJ 3027,,,,,,,,,,,,,,,
ENGL 101A,003,Wednesday,"December 10, 2014",9:00 AM,11:30 AM,STJ 3015,,,,,,,,,,,,,,,
ENGL 101B,002,Friday,"December 5, 2014",12:30 PM,3:00 PM,HH 2107,,,,,,,,,,,,,,,
ENGL 101B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 108A,001,Thursday,"December 18, 2014",12:30 PM,3:00 PM,STJ 2017,,,,,,,,,,,,,,,
ENGL 108C,001,Friday,"December 5, 2014",12:30 PM,3:00 PM,STJ 2011,,,,,,,,,,,,,,,
ENGL 108D,001,Friday,"December 5, 2014",9:00 AM,11:30 AM,RCH 309,,,,,,,,,,,,,,,
ENGL 108F,001,Friday,"December 5, 2014",4:00 PM,6:30 PM,STJ 3027,,,,,,,,,,,,,,,
ENGL 108F,002,Monday,"December 8, 2014",12:30 PM,3:00 PM,STJ 3016,,,,,,,,,,,,,,,
ENGL 108H,001,Wednesday,"December 10, 2014",9:00 AM,11:30 AM,HH 2107,,,,,,,,,,,,,,,
ENGL 109,006 to 008,Monday,"December 15, 2014",4:00 PM,6:00 PM,HH 1101,,,,,,,,,,,,,,,
ENGL 109,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 190,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 200A,001,Wednesday,"December 10, 2014",12:30 PM,3:00 PM,PAC 10,,,,,,,,,,,,,,,
ENGL 200A,002,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,STJ 2011,,,,,,,,,,,,,,,
ENGL 200A,003,Tuesday,"December 9, 2014",12:30 PM,3:00 PM,RCH 309,,,,,,,,,,,,,,,
ENGL 200A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 202A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 208A,001,Thursday,"December 4, 2014",7:30 PM,10:00 PM,STJ 2017,,,,,,,,,,,,,,,
ENGL 208C,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 208H,001,Monday,"December 15, 2014",12:30 PM,3:00 PM,RCH 205,,,,,,,,,,,,,,,
ENGL 208M,001,Monday,"December 15, 2014",7:30 PM,10:00 PM,STJ 3016,,,,,,,,,,,,,,,
ENGL 210F,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 210I,001,Friday,"December 12, 2014",7:30 PM,10:00 PM,STJ 2011,,,,,,,,,,,,,,,
ENGL 251A,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,STJ 2009,,,,,,,,,,,,,,,
ENGL 251A,004,Thursday,"December 4, 2014",7:30 PM,10:00 PM,STJ 3012,,,,,,,,,,,,,,,
ENGL 251A,005,Tuesday,"December 16, 2014",9:00 AM,11:30 AM,MC 4041,,,,,,,,,,,,,,,
ENGL 251A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 306A,"001,002",Saturday,"December 13, 2014",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,,,,,,
ENGL 310A,001,Friday,"December 5, 2014",9:00 AM,11:30 AM,STJ 3012,,,,,,,,,,,,,,,
ENGL 325,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,STJ 3027,,,,,,,,,,,,,,,
ENGL 342,001,Wednesday,"December 10, 2014",4:00 PM,6:30 PM,RCH 306,,,,,,,,,,,,,,,
ENGL 350A,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,RCH 306,,,,,,,,,,,,,,,
ENGL 350B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 362,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
ENGL 371,001,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,STJ 3015,,,,,,,,,,,,,,,
ENGL 376R,001,Thursday,"December 4, 2014",7:30 PM,10:00 PM,REN 2107,,,,,,,,,,,,,,,
ENVE 214,001,Saturday,"December 6, 2014",9:00 AM,11:30 AM,DWE 1501,,,,,,,,,,,,,,,
ENVE 223,001,Thursday,"December 4, 2014",9:00 AM,11:30 AM,"DWE 3522,3522A",,,,,,,,,,,,,,,
ENVE 276,001,Wednesday,"December 10, 2014",9:00 AM,11:30 AM,RCH 306,,,,,,,,,,,,,,,
ENVE 292,001,Friday,"December 12, 2014",9:00 AM,11:30 AM,CPH 3604,,,,,,,,,,,,,,,
ENVE 472,001,Monday,"December 8, 2014",9:00 AM,11:30 AM,CPH 3607,,,,,,,,,,,,,,,
ENVS 105,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,"RCH 302,305",,,,,,,,,,,,,,,
ENVS 200,001,Saturday,"December 13, 2014",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,,,,,,,,
ENVS 201,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,"PAC 7,8,11,12",,,,,,,,,,,,,,,
ENVS 278,"001,002",Monday,"December 8, 2014",12:30 PM,3:00 PM,"PAC 1,2,3,8",,,,,,,,,,,,,,,
ERS 110,001,Monday,"December 15, 2014",9:00 AM,11:30 AM,"AL 208,211",,,,,,,,,,,,,,,
ERS 211,001,Wednesday,"December 10, 2014",4:00 PM,6:30 PM,HH 1101,,,,,,,,,,,,,,,
ERS 234,001,Thursday,"December 18, 2014",4:00 PM,6:30 PM,AL 208,,,,,,,,,,,,,,,
ERS 370,001,Monday,"December 15, 2014",7:30 PM,9:30 PM,EV3 3412,,,,,,,,,,,,,,,
ERS 484,001,Saturday,"December 6, 2014",7:30 PM,10:00 PM,AL 208,,,,,,,,,,,,,,,
ERS 684,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,,,,,
ESL 129R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
FINE 102,001,Monday,"December 8, 2014",9:00 AM,11:30 AM,"MC 2034,2035,2038",,,,,,,,,,,,,,,
FINE 242,001,Thursday,"December 4, 2014",12:30 PM,2:30 PM,AL 105,,,,,,,,,,,,,,,
FR 101,001,Tuesday,"December 16, 2014",7:30 PM,9:30 PM,AL 208,,,,,,,,,,,,,,,
FR 151,001 to 004,Wednesday,"December 10, 2014",7:30 PM,9:30 PM,M3 1006,,,,,,,,,,,,,,,
FR 151,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
FR 152,001 to 004,Friday,"December 5, 2014",12:30 PM,2:30 PM,EV3 1408,,,,,,,,,,,,,,,
FR 152,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
FR 192A,"001,002,004 to 006",Tuesday,"December 16, 2014",4:00 PM,6:00 PM,DC 1350,,,,,,,,,,,,,,,
FR 192A,003,Tuesday,"December 16, 2014",4:00 PM,6:00 PM,STJ 3014,,,,,,,,,,,,,,,
FR 192A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
FR 192B,001 to 003,Wednesday,"December 17, 2014",7:30 PM,9:30 PM,PAC 5,,,,,,,,,,,,,,,
FR 192B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
FR 197,001,Thursday,"December 11, 2014",9:00 AM,11:30 AM,AL 105,,,,,,,,,,,,,,,
FR 251,"001,002",Saturday,"December 6, 2014",12:30 PM,2:30 PM,RCH 103,,,,,,,,,,,,,,,
FR 251,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
FR 252,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,ML 349,,,,,,,,,,,,,,,
FR 252,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
FR 255,001,Thursday,"December 18, 2014",9:00 AM,11:30 AM,AL 105,,,,,,,,,,,,,,,
FR 291,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
FR 297,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
FR 354,001,Wednesday,"December 10, 2014",7:30 PM,9:30 PM,ML 349,,,,,,,,,,,,,,,
FR 363,001,Friday,"December 5, 2014",4:00 PM,6:00 PM,ML 216,,,,,,,,,,,,,,,
FR 486,001,Thursday,"December 4, 2014",12:30 PM,3:00 PM,ML 311,,,,,,,,,,,,,,,
GENE 121,"001,002",Wednesday,"December 10, 2014",12:30 PM,3:00 PM,"RCH 103,105,110,112",,,,,,,,,,,,,,,
GEOG 202,001,Friday,"December 5, 2014",12:30 PM,3:00 PM,"RCH 103,105,110,112",,,,,,,,,,,,,,,
GEOG 215,001,Wednesday,"December 17, 2014",12:30 PM,3:00 PM,MC 1085,,,,,,,,,,,,,,,
GEOG 222,001,Tuesday,"December 9, 2014",4:00 PM,6:30 PM,"RCH 301,302",,,,,,,,,,,,,,,
GEOG 281,001,Wednesday,"December 10, 2014",4:00 PM,6:30 PM,"RCH 103,105",,,,,,,,,,,,,,,
GEOG 310,001,Thursday,"December 4, 2014",4:00 PM,6:30 PM,MC 1085,,,,,,,,,,,,,,,
GEOG 311,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,RCH 211,,,,,,,,,,,,,,,
GEOG 316,001,Monday,"December 8, 2014",12:30 PM,3:00 PM,RCH 306,,,,,,,,,,,,,,,
GEOG 404,001,Saturday,"December 6, 2014",7:30 PM,10:00 PM,AL 208,,,,,,,,,,,,,,,
GEOG 454,001,Saturday,"December 6, 2014",9:00 AM,11:30 AM,MC 4040,,,,,,,,,,,,,,,
GER 100,001,Saturday,"December 13, 2014",12:30 PM,3:00 PM,RCH 301,,,,,,,,,,,,,,,
GER 101,001 to 005,Wednesday,"December 17, 2014",9:00 AM,11:30 AM,"RCH 301,302",,,,,,,,,,,,,,,
GER 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
GER 102,001,Thursday,"December 18, 2014",9:00 AM,11:30 AM,ML 246,,,,,,,,,,,,,,,
GER 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
GER 201,001,Friday,"December 5, 2014",4:00 PM,6:30 PM,ML 246,,,,,,,,,,,,,,,
GER 201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
GER 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,,,,,
GER 220,001,Wednesday,"December 17, 2014",4:00 PM,6:30 PM,HH 1101,,,,,,,,,,,,,,,
GERON 201,001,Thursday,"December 11, 2014",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,,,,,,,,
GERON 220,001,Tuesday,"December 9, 2014",9:00 AM,11:00 AM,"RCH 301,302,307",,,,,,,,,,,,,,,
