Exam,Section(s),Day,Date,Start Time,End Time,Location,,,,,,,,,,,
CS 246,001 to 005,Saturday,"December 14, 2013",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,,,,,,,,,
CS 251,"001,002",Friday,"December 13, 2013",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,
CS 330,"001,002",Saturday,"December 14, 2013",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,
CS 335,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,
CS 338,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,DC 1350,,,,,,,,,,,
CS 341,001 to 003,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,"DC 1350,1351",,,,,,,,,,,
CS 343,001 to 003,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,,
CS 348,"001,002",Tuesday,"December 10, 2013",9:00 AM,11:30 AM,"RCH 301,302",,,,,,,,,,,
CS 348,003,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,"RCH 305,307",,,,,,,,,,,
CS 349,"001,002",Friday,"December 6, 2013",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,
CS 350,001 to 003,Monday,"December 9, 2013",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,,
CS 360,001,Thursday,"December 12, 2013",4:00 PM,6:30 PM,PAC 5,,,,,,,,,,,
CS 370,"001,002",Thursday,"December 19, 2013",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,,
CS 430,001,Saturday,"December 14, 2013",7:30 PM,10:00 PM,MC 4059,,,,,,,,,,,
CS 432,001,Wednesday,"December 18, 2013",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,,
CS 445,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,"RCH 301,302",,,,,,,,,,,
CS 456,"001,002",Friday,"December 13, 2013",12:30 PM,3:00 PM,"MC 2034,2035,2038",,,,,,,,,,,
CS 458,"001,002",Wednesday,"December 18, 2013",9:00 AM,11:30 AM,"PAC 9,10,11,12",,,,,,,,,,,
CS 466,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,PAC 5,,,,,,,,,,,
CS 486,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,"MC 2017,2054",,,,,,,,,,,
CS 488,001,Saturday,"December 14, 2013",9:00 AM,11:30 AM,PAC 12,,,,,,,,,,,
CS 645,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,"RCH 301,302",,,,,,,,,,,
CS 656,"001,002",Friday,"December 13, 2013",12:30 PM,3:00 PM,"MC 2034,2035,2038",,,,,,,,,,,
CS 658,"001,002",Wednesday,"December 18, 2013",9:00 AM,11:30 AM,"PAC 9,10,11,12",,,,,,,,,,,
CS 666,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,PAC 5,,,,,,,,,,,
CS 686,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,"MC 2017,2054",,,,,,,,,,,
CS 688,001,Saturday,"December 14, 2013",9:00 AM,11:30 AM,PAC 12,,,,,,,,,,,
DRAMA 101A,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,"MC 4020,4021",,,,,,,,,,,
DRAMA 386,002,Wednesday,"December 18, 2013",9:00 AM,11:00 AM,RCH 308,,,,,,,,,,,
DRAMA 386,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
DUTCH 101,001,Thursday,"December 19, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
DUTCH 201,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
EARTH 121,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,"PAC 4,5,6,7",,,,,,,,,,,
EARTH 121L,001 to 006,Saturday,"December 7, 2013",12:30 PM,1:30 PM,M3 1006,,,,,,,,,,,
EARTH 123,001,Thursday,"December 19, 2013",12:30 PM,3:00 PM,"PAC 2,3",,,,,,,,,,,
EARTH 123L,001 to 004,Friday,"December 20, 2013",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,
EARTH 231,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,MC 1085,,,,,,,,,,,
EARTH 235,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,,,,
EARTH 260,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,RCH 301,,,,,,,,,,,
EARTH 331,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,PAC 9,,,,,,,,,,,
EARTH 342,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,PAC 1,,,,,,,,,,,
EARTH 359,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,MC 4059,,,,,,,,,,,
EARTH 421,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,RCH 307,,,,,,,,,,,
EARTH 440,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,RCH 307,,,,,,,,,,,
EARTH 461,001,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,RCH 205,,,,,,,,,,,
EARTH 668,001,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,RCH 205,,,,,,,,,,,
ECE 105,001 to 004,Monday,"December 9, 2013",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6",,,,,,,,,,,
ECE 140,001 to 004,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6",,,,,,,,,,,
ECE 150,001 to 003,Friday,"December 13, 2013",7:30 PM,10:00 PM,"PAC 4,5,6,7",,,,,,,,,,,
ECE 205,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,"MC 2034,2035,2038",,,,,,,,,,,
ECE 206,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,,
ECE 207,"001,002",Thursday,"December 12, 2013",12:30 PM,3:00 PM,"RCH 103,105,110,112",,,,,,,,,,,
ECE 209,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,,
ECE 222,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,"RCH 103,105,110",,,,,,,,,,,
ECE 222,002,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,"RCH 103,105,110",,,,,,,,,,,
ECE 224,"001,002",Friday,"December 6, 2013",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
ECE 240,001,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,"RCH 301,302",,,,,,,,,,,
ECE 242,"001,002",Tuesday,"December 17, 2013",9:00 AM,11:30 AM,M3 1006,,,,,,,,,,,
ECE 250,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,"RCH 301,302",,,,,,,,,,,
ECE 254,001,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,"RCH 110,112",,,,,,,,,,,
ECE 290,001,Monday,"December 16, 2013",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,,
ECE 318,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,"RCH 301,309",,,,,,,,,,,
ECE 356,001,Friday,"December 20, 2013",4:00 PM,6:30 PM,MC 4020,,,,,,,,,,,
ECE 358,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,RCH 211,,,,,,,,,,,
ECE 361,001,Thursday,"December 19, 2013",7:30 PM,10:00 PM,PAC 6,,,,,,,,,,,
ECE 390,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,"RCH 110,112",,,,,,,,,,,
ECE 451,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,"RCH 301,302",,,,,,,,,,,
ECE 484,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ECON 101,"002,004,007",Thursday,"December 5, 2013",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,11,12",,,,,,,,,,,
ECON 101,"008,009",Thursday,"December 5, 2013",4:00 PM,6:30 PM,"M3 1006",,,,,,,,,,,
ECON 101,001,Thursday,"December 5, 2013",4:00 PM,6:30 PM,"MC 2017,2034,2035,2038,2054",,,,,,,,,,,
ECON 101,003,Thursday,"December 5, 2013",4:00 PM,6:30 PM,"RCH 301,302,305,306",,,,,,,,,,,
ECON 101,005,Thursday,"December 5, 2013",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,,
ECON 101,006,Thursday,"December 5, 2013",4:00 PM,6:30 PM,"PAC 7,8,9,10",,,,,,,,,,,
ECON 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ECON 102,001,Saturday,"December 14, 2013",9:00 AM,11:30 AM,PAC 11,,,,,,,,,,,
ECON 102,002,Saturday,"December 14, 2013",9:00 AM,11:30 AM,"PAC 4,5",,,,,,,,,,,
ECON 102,003,Saturday,"December 14, 2013",9:00 AM,11:30 AM,"PAC 2,3",,,,,,,,,,,
ECON 120W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,,,,
ECON 201,"002,005",Wednesday,"December 11, 2013",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,,
ECON 201,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,,,,
ECON 201,003,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,"PAC 11,12",,,,,,,,,,,
ECON 201,004,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,,
ECON 202,"001,003",Saturday,"December 14, 2013",4:00 PM,6:30 PM,"PAC 1,2",,,,,,,,,,,
ECON 202,"002,004",Saturday,"December 14, 2013",4:00 PM,6:30 PM,"PAC 4,5",,,,,,,,,,,
ECON 211,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,"RCH 307,308",,,,,,,,,,,
ECON 221,"001,002",Thursday,"December 12, 2013",12:30 PM,2:30 PM,"MC 2034,2035,2038",,,,,,,,,,,
ECON 231,"001,002",Monday,"December 9, 2013",4:00 PM,6:30 PM,"RCH 110,112",,,,,,,,,,,
ECON 231,003,Monday,"December 9, 2013",4:00 PM,6:00 PM,"RCH 302,305",,,,,,,,,,,
ECON 301,001,Friday,"December 6, 2013",7:30 PM,10:00 PM,"MC 2017,2054",,,,,,,,,,,
ECON 301,002,Friday,"December 6, 2013",7:30 PM,10:00 PM,MC 1085,,,,,,,,,,,
ECON 302,"002,003",Saturday,"December 14, 2013",4:00 PM,6:30 PM,"PAC 7,8",,,,,,,,,,,
ECON 302,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,,
ECON 304,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,"RCH 110,112",,,,,,,,,,,
ECON 311,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,RCH 309,,,,,,,,,,,
ECON 321,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,RCH 211,,,,,,,,,,,
ECON 321,002,Thursday,"December 12, 2013",9:00 AM,11:00 AM,RCH 307,,,,,,,,,,,
ECON 341,001,Friday,"December 20, 2013",12:30 PM,2:30 PM,MC 4059,,,,,,,,,,,
ECON 344,"002,003",Thursday,"December 5, 2013",4:00 PM,5:00 PM,"RCH 103,105,106,112",,,,,,,,,,,
ECON 344,001,Thursday,"December 5, 2013",4:00 PM,6:00 PM,"RCH 307,308",,,,,,,,,,,
ECON 351,001,Friday,"December 6, 2013",12:30 PM,2:30 PM,RCH 112,,,,,,,,,,,
ECON 355,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,PAC 10,,,,,,,,,,,
ECON 361,001,Wednesday,"December 18, 2013",7:30 PM,10:00 PM,MC 2054,,,,,,,,,,,
ECON 363,001,Thursday,"December 19, 2013",4:00 PM,6:00 PM,MC 4042,,,,,,,,,,,
ECON 371,"001,002",Tuesday,"December 17, 2013",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,,
ECON 383,001,Monday,"December 16, 2013",7:30 PM,10:00 PM,"PAC 9,10",,,,,,,,,,,
ECON 401,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,,
ECON 401,002,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,MC 4042,,,,,,,,,,,
ECON 402,001,Friday,"December 20, 2013",12:30 PM,2:00 PM,MC 4041,,,,,,,,,,,
ECON 404,001,Thursday,"December 12, 2013",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,,
ECON 421,001,Tuesday,"December 17, 2013",4:00 PM,6:30 PM,PAC 11,,,,,,,,,,,
ECON 421,002,Tuesday,"December 17, 2013",4:00 PM,6:30 PM,PAC 12,,,,,,,,,,,
ECON 456,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,PAC 9,,,,,,,,,,,
ECON 483,001,Monday,"December 16, 2013",4:00 PM,6:30 PM,RCH 211,,,,,,,,,,,
ECON 488,001,Thursday,"December 5, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ECON 631,001,Thursday,"December 5, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ELPE 100,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENBUS 202,001,Friday,"December 6, 2013",9:00 AM,11:30 AM,"RCH 302,305",,,,,,,,,,,
ENBUS 204,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,"RCH 302,305",,,,,,,,,,,
ENGL 100A,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ENGL 101A,002,Monday,"December 9, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ENGL 101A,003,Friday,"December 20, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ENGL 101B,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ENGL 101B,002,Saturday,"December 7, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ENGL 102B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 104,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,RCH 309,,,,,,,,,,,
ENGL 108A,001,Friday,"December 20, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ENGL 108F,001,Saturday,"December 14, 2013",9:00 AM,10:30 AM,See Prof,,,,,,,,,,,
ENGL 108F,002,Monday,"December 9, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ENGL 108H,001,Friday,"December 20, 2013",12:30 PM,3:00 PM,MC 4045,,,,,,,,,,,
ENGL 109,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 129R,001,Tuesday,"December 17, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ENGL 190,001,Thursday,"December 19, 2013",12:30 PM,3:00 PM,PAC 4,,,,,,,,,,,
ENGL 190,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 200A,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,MC 1085,,,,,,,,,,,
ENGL 200A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 208A,001,Wednesday,"December 18, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ENGL 208C,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 208H,001,Monday,"December 16, 2013",4:00 PM,6:30 PM,RCH 205,,,,,,,,,,,
ENGL 208K,001,Friday,"December 13, 2013",9:00 AM,11:00 AM,See Prof,,,,,,,,,,,
ENGL 208M,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ENGL 210F,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 210I,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ENGL 213,001,Thursday,"December 5, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ENGL 247,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,RCH 204,,,,,,,,,,,
ENGL 251A,001,Saturday,"December 14, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ENGL 251A,002,Saturday,"December 7, 2013",9:00 AM,11:30 AM,RCH 211,,,,,,,,,,,
ENGL 251A,005,Friday,"December 20, 2013",9:00 AM,11:30 AM,PAC 8,,,,,,,,,,,
ENGL 251A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 292,001,Thursday,"December 19, 2013",9:00 AM,11:30 AM,MC 2054,,,,,,,,,,,
ENGL 301H,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,RCH 306,,,,,,,,,,,
ENGL 306A,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,RCH 211,,,,,,,,,,,
ENGL 309A,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,RCH 211,,,,,,,,,,,
ENGL 310A,001,Thursday,"December 5, 2013",12:30 PM,2:30 PM,See Prof,,,,,,,,,,,
ENGL 342,001,Tuesday,"December 17, 2013",9:00 AM,10:30 AM,RCH 205,,,,,,,,,,,
ENGL 350A,001,Friday,"December 6, 2013",9:00 AM,11:00 AM,See Prof,,,,,,,,,,,
ENGL 350B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 362,002,Wednesday,"December 18, 2013",9:00 AM,11:00 AM,RCH 308,,,,,,,,,,,
ENGL 362,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
ENGL 376R,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ENGL 409A,001,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,RCH 206,,,,,,,,,,,
ENGL 430A,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ENGL 451A,001,Thursday,"December 12, 2013",12:30 PM,3:00 PM,RCH 205,,,,,,,,,,,
ENVE 214,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ENVE 223,001,Saturday,"December 7, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ENVE 276,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
ENVE 292,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ENVE 472,001,Friday,"December 6, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ENVS 200,001,Wednesday,"December 18, 2013",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,,
ENVS 201,001,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,"PAC 1,2,3",,,,,,,,,,,
ENVS 278,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,"PAC 7,8,11,12",,,,,,,,,,,
ERS 110,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ERS 210,001,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ERS 211,001,Monday,"December 16, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
ERS 234,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ERS 370,001,Monday,"December 9, 2013",4:00 PM,6:00 PM,See Prof,,,,,,,,,,,
ERS 484,001,Thursday,"December 5, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ERS 675,001,Thursday,"December 5, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ESL 102R,001 to 008,Thursday,"December 12, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
ESL 129R,001 to 003,Tuesday,"December 17, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
ESL 129R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FINE 241,001,Thursday,"December 5, 2013",4:00 PM,6:00 PM,See Prof,,,,,,,,,,,
FR 151,001 to 004,Wednesday,"December 18, 2013",9:00 AM,11:00 AM,"DC 1350,1351",,,,,,,,,,,
FR 151,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 152,001 to 004,Tuesday,"December 17, 2013",9:00 AM,11:00 AM,MC 1085,,,,,,,,,,,
FR 152,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 192A,001 to 005,Saturday,"December 14, 2013",12:30 PM,2:30 PM,"DC 1350,1351",,,,,,,,,,,
FR 192A,006,Saturday,"December 14, 2013",12:30 PM,2:30 PM,See Prof,,,,,,,,,,,
FR 192A,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 192B,001 to 004,Saturday,"December 7, 2013",12:30 PM,2:30 PM,"MC 4059,4061",,,,,,,,,,,
FR 192B,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 197,001,Monday,"December 16, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
FR 251,"001,002",Friday,"December 20, 2013",7:30 PM,9:30 PM,See Prof,,,,,,,,,,,
FR 251,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 252,001,Tuesday,"December 17, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
FR 252,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 263,001,Friday,"December 6, 2013",9:00 AM,11:00 AM,See Prof,,,,,,,,,,,
FR 291,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 297,001,Friday,"December 6, 2013",7:30 PM,9:30 PM,See Prof,,,,,,,,,,,
FR 297,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 353,001,Wednesday,"December 18, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
FR 375,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
FR 424,001,Thursday,"December 5, 2013",12:30 PM,2:30 PM,See Prof,,,,,,,,,,,
GENE 121,001,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,M3 1006,,,,,,,,,,,
GEOG 201,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
GEOG 202,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,DC 1350,,,,,,,,,,,
GEOG 210,001,Friday,"December 6, 2013",9:00 AM,11:30 AM,RCH 301,,,,,,,,,,,
GEOG 215,001,Thursday,"December 19, 2013",9:00 AM,11:30 AM,"PAC 9,10",,,,,,,,,,,
GEOG 222,001,Thursday,"December 12, 2013",4:00 PM,6:30 PM,"PAC 1,2",,,,,,,,,,,
GEOG 281,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,M3 1006,,,,,,,,,,,
GEOG 310,001,Monday,"December 16, 2013",7:30 PM,10:00 PM,MC 4020,,,,,,,,,,,
GEOG 311,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,"PAC 9,10",,,,,,,,,,,
GEOG 316,001,Friday,"December 6, 2013",7:30 PM,10:00 PM,MC 4040,,,,,,,,,,,
GEOG 353,001,Tuesday,"December 17, 2013",7:30 PM,10:00 PM,PAC 3,,,,,,,,,,,
GEOG 393,001,Saturday,"December 14, 2013",9:00 AM,11:30 AM,PAC 6,,,,,,,,,,,
GEOG 453,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,"RCH 301,302",,,,,,,,,,,
GEOG 459,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,MC 1085,,,,,,,,,,,
GEOG 475,002,Saturday,"December 7, 2013",4:00 PM,6:30 PM,RCH 205,,,,,,,,,,,
GER 100,001,Friday,"December 20, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
GER 101,001 to 006,Thursday,"December 19, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
GER 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
GER 102,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
GER 102,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
GER 201,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
GER 201,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
GER 304,001,Thursday,"December 19, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
GERON 201,001,Monday,"December 16, 2013",7:30 PM,9:30 PM,"DC 1350,1351",,,,,,,,,,,
GERON 220,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,"PAC 7,8",,,,,,,,,,,
GERON 245,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,
GERON 355,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,"M3 1006,MC 4045,4059,4061",,,,,,,,,,,
GRK 331,001,Friday,"December 6, 2013",12:30 PM,2:30 PM,RCH 205,,,,,,,,,,,
HIST 102,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,
HIST 103,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
HIST 106,001,Wednesday,"December 18, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
HIST 110,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
HIST 113,001,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
HIST 115,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
HIST 220,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
HIST 221,001,Thursday,"December 12, 2013",12:30 PM,2:30 PM,See Prof,,,,,,,,,,,
HIST 223,001,Friday,"December 20, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
HIST 230,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
HIST 232,001,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
HIST 235,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
HIST 242,001,Monday,"December 16, 2013",12:30 PM,2:30 PM,RCH 307,,,,,,,,,,,
HIST 243,001,Thursday,"December 19, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
HIST 250,001,Monday,"December 9, 2013",9:00 AM,11:00 AM,See Prof,,,,,,,,,,,
HIST 263,001,Tuesday,"December 17, 2013",7:30 PM,9:30 PM,See Prof,,,,,,,,,,,
HIST 275,001,Friday,"December 13, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
HIST 311,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
