Exam,Section(s),Day,Date,"Start
Time","End
Time",Location,,,
CS 452,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,MC 4040,,,
CS 454,"001,002",Monday,"April 20, 2015",9:00 AM,11:30 AM,DC 1351,,,
CS 456,"001,002",Friday,"April 10, 2015",12:30 PM,3:00 PM,"PAC 3,8",,,
CS 458,"001,002",Wednesday,"April 15, 2015",4:00 PM,6:30 PM,"PAC 11,12",,,
CS 467,001,Monday,"April 20, 2015",4:00 PM,6:30 PM,MC 1085,,,
CS 473,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,PAC 10,,,
CS 476,001,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,RCH 103,,,
CS 483,001,Saturday,"April 11, 2015",9:00 AM,11:30 AM,MC 4040,,,
CS 485,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 103,,,
CS 486,"001,002",Saturday,"April 18, 2015",7:30 PM,10:00 PM,M3 1006,,,
CS 487,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 205,,,
CS 488,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,"PAC 9,10",,,
CS 490,001,Tuesday,"April 21, 2015",7:30 PM,10:00 PM,MC 4045,,,
CS 492,001,Thursday,"April 16, 2015",12:30 PM,3:00 PM,PAC 10,,,
CS 642,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,MC 4020,,,
CS 644,001,Tuesday,"April 14, 2015",12:30 PM,3:00 PM,"PAC 9,10",,,
CS 645,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 301,,,
CS 646,001,Wednesday,"April 22, 2015",4:00 PM,6:30 PM,PAC 4,,,
CS 647,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,
CS 648,001,Wednesday,"April 15, 2015",9:00 AM,11:30 AM,TBA,,,
CS 654,"001,002",Monday,"April 20, 2015",9:00 AM,11:30 AM,DC 1351,,,
CS 656,"001,002",Friday,"April 10, 2015",12:30 PM,3:00 PM,"PAC 3,8",,,
CS 658,001,Wednesday,"April 15, 2015",4:00 PM,6:30 PM,"PAC 11,12",,,
CS 673,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,PAC 10,,,
CS 676,001,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,RCH 103,,,
CS 685,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 103,,,
CS 686,001,Saturday,"April 18, 2015",7:30 PM,10:00 PM,M3 1006,,,
CS 687,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 205,,,
CS 688,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,"PAC 9,10",,,
DRAMA 371,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 306,,,
DRAMA 387,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
DUTCH 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
DUTCH 102,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,TBA,,,
EARTH 122,001,Saturday,"April 25, 2015",4:00 PM,6:30 PM,"PAC 1,2,3",,,
EARTH 122L,001 to 004,Friday,"April 17, 2015",7:30 PM,10:00 PM,"PAC 1,2",,,
EARTH 221,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,MC 1085,,,
EARTH 232,001,Thursday,"April 16, 2015",4:00 PM,6:30 PM,TBA,,,
EARTH 238,001,Monday,"April 20, 2015",4:00 PM,6:30 PM,DC 1350,,,
EARTH 270,001,Saturday,"April 11, 2015",9:00 AM,11:30 AM,M3 1006,,,
EARTH 281,001,Wednesday,"April 15, 2015",7:30 PM,10:00 PM,"PAC 11,12",,,
EARTH 332,001,Saturday,"April 18, 2015",12:30 PM,3:00 PM,PAC 9,,,
EARTH 333,001,Tuesday,"April 14, 2015",7:30 PM,10:00 PM,PAC 1,,,
EARTH 358,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,"PAC 9,10",,,
EARTH 437,001,Friday,"April 10, 2015",4:00 PM,6:30 PM,TBA,,,
EARTH 438,001,Tuesday,"April 14, 2015",9:00 AM,11:30 AM,PAC 10,,,
EARTH 439,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,RCH 305,,,
EARTH 456,001,Tuesday,"April 21, 2015",4:00 PM,6:30 PM,PAC 11,,,
EARTH 459,001,Thursday,"April 16, 2015",4:00 PM,6:30 PM,PAC 7,,,
EARTH 460,001,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,RCH 205,,,
EARTH 471,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,RCH 204,,,
EARTH 491,001,Friday,"April 17, 2015",9:00 AM,11:30 AM,PAC 9,,,
EARTH 656,001,Tuesday,"April 21, 2015",4:00 PM,6:30 PM,PAC 11,,,
EASIA 210R,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,TBA,,,
ECE 103,001,Thursday,"April 23, 2015",12:30 PM,3:00 PM,M3 1006,,,
ECE 106,"001,002",Monday,"April 13, 2015",4:00 PM,6:30 PM,"PAC 8,9,10,11,12",,,
ECE 124,"001,002",Monday,"April 20, 2015",4:00 PM,6:30 PM,"PAC 4,5,6",,,
ECE 155,001,Thursday,"April 16, 2015",4:00 PM,6:30 PM,"PAC 4,5",,,
ECE 205,"001,002",Monday,"April 20, 2015",12:30 PM,3:00 PM,"MC 4020,4021,4059,4061",,,
ECE 222,"001,002",Friday,"April 10, 2015",12:30 PM,3:00 PM,"PAC 1,2",,,
ECE 224,001,Thursday,"April 23, 2015",9:00 AM,11:30 AM,"PAC 9,10",,,
ECE 240,"001,002",Monday,"April 13, 2015",12:30 PM,3:00 PM,"DC 1350,1351",,,
ECE 250,"001,002",Wednesday,"April 15, 2015",4:00 PM,6:30 PM,"PAC 6,7",,,
ECE 290,"001,002",Friday,"April 17, 2015",4:00 PM,6:30 PM,"DC 1350,1351",,,
ECE 316,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,M3 1006,,,
ECE 318,"001,002",Tuesday,"April 14, 2015",4:00 PM,6:30 PM,"PAC 7,8",,,
ECE 327,001,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,RCH 302,,,
ECE 331,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,RCH 103,,,
ECE 351,001,Friday,"April 24, 2015",7:30 PM,10:00 PM,DC 1351,,,
ECE 356,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 302,,,
ECE 358,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,RCH 302,,,
ECE 361,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,RCH 301,,,
ECE 375,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,RCH 302,,,
ECE 380,001,Thursday,"April 16, 2015",12:30 PM,3:00 PM,DC 1351,,,
ECE 390,"001,002",Friday,"April 17, 2015",9:00 AM,11:30 AM,"RCH 103,105,110",,,
ECE 404,001,Monday,"April 13, 2015",7:30 PM,10:00 PM,PAC 8,,,
ECE 405,001,Thursday,"April 23, 2015",9:00 AM,11:30 AM,PAC 11,,,
ECE 406,001,Tuesday,"April 14, 2015",12:30 PM,3:00 PM,DC 1350,,,
ECE 409,001,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,RCH 305,,,
ECE 415,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,MC 4058,,,
ECE 416,001,Thursday,"April 16, 2015",9:00 AM,11:30 AM,PAC 10,,,
ECE 417,001,Friday,"April 24, 2015",4:00 PM,6:30 PM,PAC 7,,,
ECE 423,001,Wednesday,"April 15, 2015",4:00 PM,6:30 PM,"PAC 9,10",,,
ECE 433,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,MC 4021,,,
ECE 444,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,RCH 204,,,
ECE 451,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 301,,,
ECE 452,001,Wednesday,"April 22, 2015",4:00 PM,6:30 PM,PAC 4,,,
ECE 453,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,
ECE 457B,001,Friday,"April 17, 2015",7:30 PM,10:00 PM,PAC 5,,,
ECE 459,001,Friday,"April 10, 2015",7:30 PM,10:00 PM,M3 1006,,,
ECE 464,001,Tuesday,"April 14, 2015",7:30 PM,10:00 PM,PAC 2,,,
ECE 467,001,Wednesday,"April 15, 2015",7:30 PM,10:00 PM,RCH 301,,,
ECE 474,001,Monday,"April 20, 2015",12:30 PM,3:00 PM,MC 4041,,,
ECE 477,001,Saturday,"April 18, 2015",4:00 PM,6:30 PM,PAC 6,,,
ECE 488,001,Thursday,"April 16, 2015",4:00 PM,6:30 PM,PAC 8,,,
ECE 617,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,MC 4058,,,
ECE 653,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,
ECE 730,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,MC 4021,,,
ECE 770,001,Saturday,"April 18, 2015",4:00 PM,6:30 PM,PAC 6,,,
ECON 101,001,Tuesday,"April 14, 2015",9:00 AM,11:30 AM,"DC 1350,1351",,,
ECON 101,"002,003",Tuesday,"April 14, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,8,9",,,
ECON 101,"004,005",Tuesday,"April 14, 2015",9:00 AM,11:30 AM,"PAC 4,5,6,7",,,
ECON 101,"006,007",Tuesday,"April 14, 2015",9:00 AM,11:30 AM,"PAC 11,12",,,
ECON 102,"001,003",Friday,"April 10, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,8,9,10",,,
ECON 102,"002,005",Friday,"April 10, 2015",9:00 AM,11:30 AM,"PAC 4,5,6,7,11",,,
ECON 102,"004,006",Friday,"April 10, 2015",9:00 AM,11:30 AM,"M3 1006, DC 1350,1351",,,
ECON 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ECON 140W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
ECON 201,001,Thursday,"April 16, 2015",4:00 PM,6:30 PM,PAC 1,,,
ECON 201,002,Thursday,"April 16, 2015",4:00 PM,6:30 PM,PAC 2,,,
ECON 201,003,Thursday,"April 16, 2015",4:00 PM,6:30 PM,PAC 3,,,
ECON 202,"001,004",Tuesday,"April 14, 2015",12:30 PM,3:00 PM,"PAC 1,2",,,
ECON 202,002,Tuesday,"April 14, 2015",12:30 PM,3:00 PM,PAC 3,,,
ECON 202,003,Tuesday,"April 14, 2015",12:30 PM,3:00 PM,PAC 6,,,
ECON 211,001,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,RCH 306,,,
ECON 211,002,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,RCH 105,,,
ECON 221,001,Tuesday,"April 21, 2015",7:30 PM,10:00 PM,PAC 8,,,
ECON 231,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,"MC 4059,4061",,,
ECON 301,001,Friday,"April 10, 2015",7:30 PM,10:00 PM,PAC 7,,,
ECON 301,002,Friday,"April 10, 2015",7:30 PM,10:00 PM,PAC 8,,,
ECON 302,"001,002",Tuesday,"April 14, 2015",12:30 PM,3:00 PM,"PAC 4,5",,,
ECON 304,001,Thursday,"April 16, 2015",12:30 PM,3:00 PM,"MC 2017,2054",,,
ECON 321,"001,002",Monday,"April 20, 2015",4:00 PM,6:30 PM,DC 1351,,,
ECON 332,"001,002",Thursday,"April 23, 2015",7:30 PM,10:00 PM,M3 1006,,,
ECON 351,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,RCH 309,,,
ECON 361,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ECON 371,001,Tuesday,"April 21, 2015",7:30 PM,10:00 PM,"PAC 11,12",,,
ECON 372,001,Saturday,"April 18, 2015",4:00 PM,6:30 PM,PAC 3,,,
ECON 401,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,RCH 112,,,
ECON 421,001,Tuesday,"April 21, 2015",9:00 AM,11:30 AM,"PAC 9,10",,,
ECON 422,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 308,,,
ECON 483,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,RCH 308,,,
ENGL 100A,001,Saturday,"April 11, 2015",12:30 PM,2:30 PM,MC 4045,,,
ENGL 101A,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,MC 4058,,,
ENGL 101B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 108A,001,Saturday,"April 11, 2015",7:30 PM,9:00 PM,TBA,,,
ENGL 108F,001,Saturday,"April 25, 2015",4:00 PM,6:30 PM,TBA,,,
ENGL 108H,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,TBA,,,
ENGL 109,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 190,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 200A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 200B,001,Thursday,"April 16, 2015",9:00 AM,11:30 AM,MC 4040,,,
ENGL 200B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 202A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 208B,001,Saturday,"April 25, 2015",9:00 AM,11:30 AM,TBA,,,
ENGL 210F,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 213,001,Thursday,"April 23, 2015",7:30 PM,10:00 PM,TBA,,,
ENGL 247,001,Thursday,"April 23, 2015",7:30 PM,10:00 PM,MC 4040,,,
ENGL 251A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 251B,002,Monday,"April 20, 2015",9:00 AM,11:30 AM,TBA,,,
ENGL 251B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 306A,"001,002",Monday,"April 20, 2015",7:30 PM,10:00 PM,TBA,,,
ENGL 306F,001,Friday,"April 10, 2015",9:00 AM,11:00 AM,TBA,,,
ENGL 309A,001,Tuesday,"April 14, 2015",12:30 PM,3:00 PM,MC 2035,,,
ENGL 310B,001,Thursday,"April 16, 2015",9:00 AM,11:30 AM,TBA,,,
ENGL 315,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 322,001,Wednesday,"April 15, 2015",4:00 PM,6:30 PM,TBA,,,
ENGL 330A,001,Wednesday,"April 22, 2015",4:00 PM,6:00 PM,RCH 204,,,
ENGL 345,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 363,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENGL 451B,001,Monday,"April 13, 2015",9:00 AM,11:30 AM,TBA,,,
ENGL 460B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
ENVE 221,001,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,TBA,,,
ENVE 224,001,Friday,"April 10, 2015",7:30 PM,10:00 PM,TBA,,,
ENVE 275,001,Thursday,"April 16, 2015",4:00 PM,6:30 PM,TBA,,,
ENVE 375,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
ENVE 391,001,Monday,"April 13, 2015",9:00 AM,11:30 AM,TBA,,,
ENVE 573,001,Wednesday,"April 22, 2015",4:00 PM,6:30 PM,TBA,,,
ENVE 577,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,TBA,,,
ENVS 178,"001,002",Thursday,"April 16, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5",,,
ENVS 220,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,M3 1006,,,
ERS 111,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,TBA,,,
ERS 365,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,TBA,,,
ERS 375,002,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
ERS 383,001,Friday,"April 24, 2015",7:30 PM,10:00 PM,TBA,,,
ESL 129R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FINE 204,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,PAC 7,,,
FINE 359,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
FR 151,001 to 004,Thursday,"April 23, 2015",7:30 PM,9:30 PM,DC 1350,,,
FR 151,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FR 152,001 to 004,Monday,"April 13, 2015",9:00 AM,11:00 AM,TBA,,,
FR 152,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FR 192A,001 to 004,Friday,"April 10, 2015",7:30 PM,9:30 PM,TBA,,,
FR 192A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FR 192B,001 to 004,Monday,"April 13, 2015",7:30 PM,9:30 PM,RCH 301,,,
FR 192B,005,Monday,"April 13, 2015",7:30 PM,9:30 PM,TBA,,,
FR 192B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FR 197,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
FR 197,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FR 251,001,Thursday,"April 16, 2015",7:30 PM,9:30 PM,TBA,,,
FR 251,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FR 252,"001,002",Tuesday,"April 14, 2015",9:00 AM,11:30 AM,TBA,,,
FR 276,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FR 292,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FR 297,001,Saturday,"April 25, 2015",4:00 PM,6:00 PM,TBA,,,
FR 355,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
FR 452,001,Wednesday,"April 15, 2015",12:30 PM,2:30 PM,TBA,,,
FR 473,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
GBDA 102,"001,002",Friday,"April 24, 2015",12:30 PM,3:00 PM,"PAC 11,12",,,
GBDA 204,"001,002",Wednesday,"April 22, 2015",4:00 PM,6:30 PM,PAC 5,,,
GBDA 205,"001,002",Friday,"April 24, 2015",4:00 PM,6:30 PM,TBA,,,
GENE 123,001 to 004,Monday,"April 13, 2015",12:30 PM,3:00 PM,"PAC 4,5,6,11,12",,,
GENE 411,001,Thursday,"April 23, 2015",12:30 PM,3:00 PM,PAC 9,,,
GEOG 102,001,Monday,"April 13, 2015",9:00 AM,11:30 AM,"DC 1350,1351",,,
GEOG 203,001,Wednesday,"April 22, 2015",12:30 PM,3:00 PM,PAC 3,,,
GEOG 209,001,Saturday,"April 18, 2015",4:00 PM,6:30 PM,PAC 4,,,
GEOG 271,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,"RCH 103,105",,,
GEOG 281,001,Monday,"April 20, 2015",12:30 PM,3:00 PM,"PAC 7,8",,,
GEOG 293,001,Friday,"April 24, 2015",9:00 AM,11:30 AM,MC 1085,,,
GEOG 323,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,PAC 12,,,
GEOG 340,001,Friday,"April 17, 2015",12:30 PM,3:00 PM,PAC 9,,,
GEOG 368,001,Friday,"April 24, 2015",4:00 PM,6:30 PM,"PAC 1,2",,,
GER 101,001 to 004,Saturday,"April 25, 2015",9:00 AM,11:30 AM,TBA,,,
GER 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
GER 102,"001,002",Saturday,"April 11, 2015",7:30 PM,10:00 PM,TBA,,,
GER 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
GER 180,001,Monday,"April 20, 2015",12:30 PM,3:00 PM,TBA,,,
GER 201,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
GER 202,001,Saturday,"April 11, 2015",9:00 AM,11:30 AM,TBA,,,
GER 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
GER 298,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
GER 359,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
GER 695,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
GERON 210,001,Friday,"April 10, 2015",12:30 PM,2:00 PM,"RCH 103,105",,,
GERON 352,001,Friday,"April 17, 2015",12:30 PM,3:00 PM,M3 1006,,,
GRK 331,001,Friday,"April 10, 2015",7:30 PM,10:00 PM,TBA,,,
GRK 600,001,Friday,"April 10, 2015",7:30 PM,10:00 PM,TBA,,,
HIST 105,001,Tuesday,"April 14, 2015",7:30 PM,10:00 PM,TBA,,,
HIST 113,001,Friday,"April 17, 2015",9:00 AM,11:30 AM,TBA,,,
HIST 223,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,TBA,,,
HIST 263,001,Wednesday,"April 15, 2015",9:00 AM,11:30 AM,TBA,,,
HIST 266,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
HIST 271,001,Monday,"April 13, 2015",9:00 AM,11:30 AM,TBA,,,
HIST 275,001,Friday,"April 24, 2015",9:00 AM,11:30 AM,TBA,,,
HIST 291,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,TBA,,,
HIST 304,001,Tuesday,"April 14, 2015",9:00 AM,11:30 AM,TBA,,,
HIST 318,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
HIST 388,001,Tuesday,"April 14, 2015",7:30 PM,10:00 PM,TBA,,,
HLTH 210,001,Friday,"April 10, 2015",12:30 PM,2:00 PM,"RCH 103,105",,,
HLTH 253,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,TBA,,,
HLTH 330,001,Tuesday,"April 14, 2015",12:30 PM,3:00 PM,"PAC 7,8",,,
HLTH 352,001,Friday,"April 17, 2015",12:30 PM,3:00 PM,M3 1006,,,
HLTH 435,001,Tuesday,"April 14, 2015",7:30 PM,9:30 PM,"MC 2017,2054",,,
HLTH 451,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
HRM 301,001,Wednesday,"April 15, 2015",7:30 PM,9:30 PM,RCH 105,,,
HRM 307,001,Thursday,"April 23, 2015",7:30 PM,9:30 PM,MC 4061,,,
HSG 620,002,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
HUMSC 102,001,Saturday,"April 11, 2015",4:00 PM,6:30 PM,TBA,,,
HUMSC 301,001,Saturday,"April 11, 2015",4:00 PM,6:30 PM,TBA,,,
INDEV 101,001,Saturday,"April 18, 2015",4:00 PM,6:30 PM,PAC 2,,,
INTEG 275,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,PAC 7,,,
JAPAN 101R,"001,002",Wednesday,"April 22, 2015",4:00 PM,6:00 PM,TBA,,,
JAPAN 102R,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,TBA,,,
JAPAN 201R,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,TBA,,,
JAPAN 202R,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,TBA,,,
JAPAN 301R,001,Saturday,"April 18, 2015",12:30 PM,3:00 PM,TBA,,,
JAPAN 302R,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,TBA,,,
KIN 100,001,Tuesday,"April 21, 2015",4:00 PM,6:30 PM,"PAC 6,7,8",,,
KIN 100L,001 to 010,Tuesday,"April 21, 2015",9:00 AM,11:30 AM,M3 1006,,,
KIN 101,001 to 016,Friday,"April 10, 2015",7:30 PM,10:00 PM,"PAC 4,5",,,
KIN 205,001,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,"PAC 11,12",,,
KIN 210,001,Friday,"April 10, 2015",12:30 PM,2:00 PM,"RCH 103,105",,,
KIN 222,001,Saturday,"April 18, 2015",9:00 AM,11:30 AM,"PAC 7,8",,,
KIN 307,001,Saturday,"April 11, 2015",9:00 AM,11:30 AM,MC 4041,,,
KIN 330,001,Tuesday,"April 14, 2015",4:00 PM,6:00 PM,"DC 1350,1351",,,
KIN 342,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,RCH 112,,,
KIN 352,001,Friday,"April 17, 2015",12:30 PM,3:00 PM,M3 1006,,,
KIN 356,001,Wednesday,"April 22, 2015",7:30 PM,9:30 PM,RCH 301,,,
KIN 402,001,Wednesday,"April 15, 2015",7:30 PM,9:30 PM,RCH 103,,,
KIN 420,001,Friday,"April 24, 2015",7:30 PM,10:00 PM,MC 4061,,,
KIN 422,001,Monday,"April 20, 2015",12:30 PM,3:00 PM,"MC 2034,2035,2038",,,
KIN 427,001,Friday,"April 17, 2015",9:00 AM,10:30 AM,M3 1006,,,
KOREA 101R,"001,002",Friday,"April 17, 2015",7:30 PM,10:00 PM,TBA,,,
LAT 102,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,RCH 306,,,
LAT 202,001,Tuesday,"April 14, 2015",7:30 PM,10:00 PM,PAC 3,,,
LS 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
LS 102,002,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,TBA,,,
LS 201,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,RCH 302,,,
LS 240,001,Monday,"April 20, 2015",7:30 PM,9:30 PM,RCH 301,,,
LS 280,001,Wednesday,"April 22, 2015",7:30 PM,9:30 PM,RCH 307,,,
LS 321,001,Saturday,"April 18, 2015",12:30 PM,3:00 PM,TBA,,,
LS 403,001,Monday,"April 13, 2015",7:30 PM,10:00 PM,PAC 11,,,
LS 403,002,Monday,"April 20, 2015",9:00 AM,11:30 AM,TBA,,,
MATBUS 470,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,DC 1351,,,
MATBUS 471,001,Thursday,"April 16, 2015",9:00 AM,11:30 AM,PAC 6,,,
MATBUS 472,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 105,,,
MATH 103,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
MATH 104,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,RCH 112,,,
MATH 104,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
MATH 106,001,Wednesday,"April 15, 2015",9:00 AM,11:30 AM,"MC 2017,2054",,,
MATH 118,001 to 005,Saturday,"April 11, 2015",12:30 PM,3:00 PM,"PAC 4,5,6,7,11,12",,,
MATH 119,001 to 003,Friday,"April 10, 2015",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,
MATH 127,001 to 004,Monday,"April 20, 2015",9:00 AM,11:30 AM,"PAC 8,9,10,11,12",,,
MATH 127,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
MATH 128,001 to 006,Monday,"April 20, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7",,,
MATH 128,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
