"site_slug","site_name"
"earth-environmental-sciences","Earth and Environmental Sciences"
"earth-sciences-museum","Earth Sciences Museum"
"east-asian-studies","East Asian Studies"
"ecohydrology","Ecohydrology Research Group"
"ecology-lab","Ecology Lab"
"economics","Economics"
"education-program-for-photonics-professionals","Education Program for Photonics Professionals"
"efficiency-working-group","Efficiency Working Group"
"electrical-computer-engineering","Electrical and Computer Engineering"
"embedded-software-group","Real-time Embedded Software Group"
"embedded-systems-lab","Real-time Embedded Systems Lab"
"employee-assistance-program","Employee Assistance Program"
"engineering","Engineering"
"engineering-cases","Engineering Cases"
"engineering-computing","Engineering Computing"
"engineering-machine-shop","Engineering Machine Shop"
"engineering-science-quest","Engineering Science Quest"
"engineering-student-ambassadors","Engineering Student Ambassadors"
"english","English Language and Literature"
"english-language-institute","English Language Institute"
"environment","uWaterloo - Faculty of Environment"
"environment-computing","Environment Computing | Mapping, Analysis & Design"
"environment-resource-studies","Environment and Resource Studies"
"event-related-potential-lab","Event Related Potential Lab"
"events","Waterloo Events"
"face-processing-social-cognition-lab","Face Processing and Social Cognition Lab"
"faculty-association","Faculty Association"
"faculty-computing-user-support-group","Faculty Computing User Support Group"
"faculty-science-foundation","Faculty of Science Foundation"
"fatigue-stress-analysis-lab","Fatigue and Stress Analysis Lab"
"finance","Finance"
"find-out-more","Find out more"
"flanagan-lab","Flanagan Lab"
"foldvari-group","Foldvari Group"
"food-services","UW Food Services"
"french-studies","French Studies"
"fuel-cell-green-energy-lab","Fuel Cell and Green Energy Lab"
"gambling-research-lab","Gambling Research Lab"
"games-institute","Games Institute"
"gamification","Gamification"
"geography-environmental-management","Geography and Environmental Management"
"geomechanics-group","Geomechanics Group"
"geriatric-health-systems-research-group","Geriatric Health Systems Research Group"
"germanic-slavic-studies","Germanic & Slavic Studies"
"graduate-association-psychology","Graduate Association of Students in Psychology"
"graduate-house","Graduate House"
"graduate-student-association","Graduate Student Association"
"graduate-studies","Graduate Studies"
"grebel","Conrad Grebel University College"
"green-it","Green IT Advisory Group"
"groundwater-research","Centre for Groundwater Research"
"guelph-waterloo-physics-institute","Guelph-Waterloo Physics Institute"
"hagey-lectures","Hagey Lectures"
"health-informatics","Health Informatics"
"health-services","Health Services"
"heritage-resources-centre","Heritage Resources Centre"
"hire","HIRE Waterloo"
"history","History"
"hong-kong-office","Hong Kong Office"
"hong-kong-office-ch","香港办公室"
"hopkins-lab","Hopkins Laboratory"
"housing","Residences"
"human-resources","Human Resources"
"human-resources-management-system","Human Resources Management System"
"humans-complex-systems-lab","Humans in Complex Systems Lab"
"i3-challenge","i3 Challenge"
"ideas-summer-experience","IDEAS Summer Experience"
"indice-canadien-du-mieux-etre","Indice Canadien Du Mieux-Etre"
"industrial-organizational-psychology-student-conference","Industrial Organizational Psychology Student Conference"
"infant-studies-group","Infant Studies Group"
"information-systems-technology","Information Systems & Technology"
"institute-computer-research","Institute for Computer Research"
"institute-for-quantum-computing","Institute for Quantum Computing"
"institute-nanotechnology","Waterloo Institute for Nanotechnology"
"institute-polymer-research","Institute for Polymer Research"
"institutional-analysis-planning","Institutional Analysis & Planning"
"international","Waterloo International"
"international-optometric-bridging-program","International Optometric Bridging Program"
"international-shoulder-group-2014","International Shoulder Group 2014"
"international-society-for-gravitational-physiology-2014","International Society for Gravitational Physiology 2014"
"international-students","International Student Experience"
"irving-lab","Irving Lab"
"ist-windows-advancement-group","IST Windows Advancement Group"
"it-professional-development-advisory-group","IT Professional Development Advisory Group"
"it-service-asset-management","IT Service and Asset Management Program"
"it-strategic-plan","IT Strategic Plan"
"jobmine","JobMine"
"kinesiology","Kinesiology"
"knowledge-integration","Knowledge Integration"
"knowledge-integration-exhibition","Knowledge Integration eXhibition"
"learn-help","LEARN Help"
"leonenko-research-group","Leonenko Research Group"
"library/accessibility","Library Accessibility Services"
"library/aoda-toolkit","Accessibility for Ontarians with Disabilities Act Toolkit"
"library/library-lens","Library Lens"
"library/musagetes","Musagetes Architecture Library"
"library/web-redesign","Library Web Redesign"
"management-sciences","Management Sciences"
"map-library-assistants-workshop","Map Library Assistants' Workshop"
"marketing-strategic-communications","Marketing and Strategic Communications"
"mass-spectrometry-facility","Mass Spectrometry Facility"
"master-of-public-service","Master of Public Service"
"master-peace-conflict-studies","Master of Peace and Conflict Studies"
"mcmahon-lab","McMahon Lab"
"mechanical-mechatronics-engineering","Mechanical and Mechatronics Engineering"
"medicinal-bioorganic-chemistry-lab","Medicinal and Bioorganic Chemistry Lab"
"medieval-studies","Medieval Studies"
"mennonite-archives-ontario","Mennonite Archives of Ontario"
"mental-health-research","Centre for Mental Health Research"
"mental-health-wellness","Mental Health and Wellness"
"mike-ophelia-lazaridis-quantum-nano-centre","Mike & Ophelia Lazaridis Quantum-Nano Centre"
"murphy-lab","Murphy Lab"
"murray-alzheimer-research-and-education-program","Murray Alzheimer Research and Education Program"
"museum-vision-science","Museum of Vision Science"
"music","Music"
"my-career","My Career at Waterloo"
"myhrinfo","myHRinfo"
"nanotechnology","Nanotechnology Engineering"
"neufeld-research-group","Neufeld Research Group"
"neurological-patient-database","Neurological Patient Database"
"news","Waterloo News"
"next-generation-environmental-assessment","Next Generation Environmental Assessment Project"
"nuclear-magnetic-resonance-facility","Nuclear Magnetic Resonance Facility"
"off-campus-housing","Off-Campus Housing"
"online-expense-claims","Online Expense Claims"
"ontario-biomechanics-conference-2013","Ontario Biomechanics Conference 2013"
"open-data","Open Data Initiative"
"optometry-clinics","Optometry Clinics"
"optometry-student-society","Optometry Student Society"
"optometry-vision-science","Optometry & Vision Science"
"organizational-human-development","Organizational & Human Development"
"orientation","Orientation"
"parking","UW Parking Services"
"partnerships-in-dementia-care","Partnerships in Dementia Care"
"pawliszyn-group","Pawliszyn Research Group"
"peace-conflict-studies","Peace and Conflict Studies"
"performance-indicators","Performance Indicators"
"peter-russell-rock-garden","Peter Russell Rock Garden"
"pharmacokinetics-research-group","Pharmacokinetics Research Group"
"pharmacy","School of Pharmacy"
"philosophy","Philosophy"
"phys13news","Phys13 News"
"physics-astronomy","Physics and Astronomy"
"planning","School of Planning"
"police","UW Police"
"political-science","Political Science"
"polymer-physics","Polymer Physics Group"
"polymer-supramolecular-functional-nanomaterials","Polymer and Supramolecular Functional Nanomaterials"
"postdoctoral","Postdoctoral Office"
"president","President Office"
"privacy","Information and Privacy"
"procurement","Procurement & Contract Services"
"professional-development-program","Professional Development Program"
"propel","Propel Centre for Population Health Impact"
"provost","Provost Office"
"psychological-health","Psychological Health and Safety in the Workplace"
"psychology","Psychology"
"public-health-and-health-systems","School of Public Health and Health Systems"
"quantum-cryptography-school-young-students","Quantum Cryptography School for Young Students"
"quantum-innovators","Quantum Innovators"
"quantum-matters","Quantum Matters Group"
"quest","Quest - Student Information System"
"quintessence","Quintessence"
"reasoning-decision-making-lab","Reasoning and Decision Making Lab"
"records-management","Records Management"
"recreation-and-leisure-studies","Recreation and Leisure Studies"
"recreation-committee","University of Waterloo Recreation Committee"
"refer-employer","Refer Your Employer"
"refer-students","Refer a Student"
"registrar","Registrar's Office"
"relationship-lab","Relationship Research Lab"
"religious-studies","Religious Studies"
"renison","Renison University College"
"renison-ministry-centre","Renison Ministry Centre"
"research","Research"
"research-experiences-group","Research Experiences Group"
"research-technology-park","David Johnston Research + Technology Park"
"retirees-association","Retirees Association"
"rome-program","Waterloo Architecture | Rome"
"rooney-lab","Rooney Lab"
"sandford-fleming-foundation","Sandford Fleming Foundation"
"scheduling-timetabling-examinations-project","Scheduling, Timetabling, and Examinations Project (STEP)"
"school-environment-enterprise-development","School of Environment, Enterprise and Development"
"school-of-accounting-and-finance","School of Accounting and Finance"
"school-of-public-health-and-health-systems-graduate-students-association","School of Public Health and Health Systems Graduate Students' Association"
"school-of-social-work","School of Social Work"
"science","Science"
"science-2-2-chinese","Science 2+2"
"science-2-plus-2","Science 2+2"
"science-and-business","Science and Business"
"science-computing","Science Computing"
"science-endowment-fund","Waterloo Science Endowment Fund"
"science-student-help-team","Science Student Help Team"
"science-technical-services","Science Technical Services"
"science-technology-society","Science and Technology in Society"
"secretariat","Secretariat"
"sedra-student-design-centre","Sedra Student Design Centre"
"self-attitudes-lab","Self-Attitudes Lab"
"self-regulation-motivation-lab","Self-Regulation and Motivation Lab"
"servos-group","Servos Group"
"sight-enhancement","Centre for Sight Enhancement"
"social-development-studies","Social Development Studies"
"social-media-committee","Social Media Committee"
"social-work-action-network-canada","Social Work Action Network Canada"
"sociology-and-legal-studies","Sociology and Legal Studies"
"software-engineering","Software Engineering"
"spanish","Spanish and Latin American Studies"
"staff-association","University of Waterloo Staff Association"
"stories","Waterloo Stories"
"stpauls","St. Paul's University College"
"strategic-plan","Strategic plan"
"stratford-campus","Stratford Campus"
"student-awards-financial-aid","Student Awards & Financial Aid"
"student-information-systems-project","Student Information Systems Project"
"student-life-centre","Student Life Centre"
"student-portal","Student Portal"
"student-success","Student Success Office"
"studies-in-islam","Studies in Islam"
"study-abroad-programs","Study Abroad Programs"
"support","Support Waterloo"
"sustainability","Sustainability"
"sustainability-assessment-project","Sustainability Assessment Project"
"sustainable-energy-policy","Sustainable Energy Policy"
"systems-design-engineering","Systems Design Engineering"
"taylor-research-group","Taylor Research Group"
"theological-studies","Theological Studies"
"three-minute-thesis","Three Minute Thesis (3MT)"
"toronto-mennonite-theological-centre","Toronto Mennonite Theological Centre"
"ultrafast-laser-group","Ultrafast Laser Group"
"united-arab-emirates","United Arab Emirates"
"united-way","United Way Campaign"
"university-club","University Club"
"university-committee-information-systems-technology","University Committee on Information Systems & Technology"
"university-relations","University Relations"
"unlimited","Waterloo Unlimited"
"uw-fitness","UW Fitness"
"vision-attention-lab","Vision and Attention Lab"
"wat-on-earth","Wat on Earth"
"water-under-the-bridge","Water Under the Bridge"
"waterloo-innovation-summit","Waterloo Innovation Summit"
"waterloo-institute-for-hellenistic-studies","Waterloo Institute for Hellenistic Studies"
"waterloo-nexus-advisory-group","Waterloo Nexus Advisory Group"
"waterloo-research-in-aging-participants","Waterloo Research in Aging Participant Pool"
"waterloo-summit-centre","Waterloo Summit Centre for the Environment"
"watport","WatPort"
"web-advisory-committee","Web Advisory Committee"
"web-resources","Web Resources"
"wettig-research-group","Wettig Research Group"
"wisdom-and-culture-lab","Wisdom and Culture Lab"
"witer-learning-resource-centre","Witer Learning Resource Centre"
"women-in-engineering","Women in Engineering"
"womens-studies","Women's Studies"
"writing-centre","Writing Centre"
"wu-research-group","Wu Research Group"
"youth-programs-and-camps","Youth Programs and Camps"
